repeat,fold,best_epoch,cls_dims,pca_dims,mlp_cls_weight_frac,mlp_pca_weight_frac,cls_pca_cross_fro,cls_label_corr,pca_label_corr,cls_nn_train_acc,cls_nn_test_acc,pca_var_explained,pca_only_train_acc,pca_only_test_acc,cls_only_train_acc,cls_only_test_acc,fused_train_acc,fused_test_acc
0,0,39,64,30,0.6850529003392428,0.31494709966075024,6.901826858520508,0.385901410913986,0.11394801509789805,0.9791666666666666,0.6666666666666666,0.9881391525268555,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666
0,1,10,64,30,0.6717187442749387,0.3282812557250547,7.488170623779297,0.2702921013537755,0.1181851845382513,0.7052631578947368,0.4,0.9886485934257507,1.0,0.52,1.0,0.52,1.0,0.52
0,2,16,64,30,0.6765809219449576,0.32341907805503567,7.323690891265869,0.3113526769623845,0.11466528287763689,0.8854166666666666,0.5416666666666666,0.987729012966156,1.0,0.625,1.0,0.6666666666666666,1.0,0.6666666666666666
0,3,19,64,30,0.6793670583351735,0.3206329416648197,7.232424736022949,0.3365040013826527,0.10654945803845914,0.865979381443299,0.4782608695652174,0.9877133965492249,1.0,0.6521739130434783,1.0,0.6521739130434783,1.0,0.6521739130434783
0,4,8,64,30,0.6709287330707098,0.32907126692928357,7.494030952453613,0.27624709132430453,0.11590916114599148,0.6979166666666666,0.4166666666666667,0.9878234267234802,1.0,0.6666666666666666,1.0,0.4583333333333333,1.0,0.625
1,0,22,64,30,0.6756051473664461,0.32439485263354717,7.405279159545898,0.3290772782786241,0.11430134807507841,0.8631578947368421,0.56,0.9887498021125793,1.0,0.64,1.0,0.76,1.0,0.76
1,1,11,64,30,0.6704971077133686,0.3295028922866248,7.447391986846924,0.2989968393836439,0.10936244146791362,0.8229166666666666,0.625,0.9879347085952759,1.0,0.6666666666666666,1.0,0.5833333333333334,1.0,0.625
1,2,17,64,30,0.6762000058177706,0.32379999418222266,7.44574499130249,0.31730612951019743,0.11189974408599973,0.8645833333333334,0.625,0.987370491027832,1.0,0.625,1.0,0.5833333333333334,1.0,0.6666666666666666
1,3,24,64,30,0.6843167655958183,0.3156832344041748,7.326451301574707,0.3767819851117451,0.1174696113947188,0.96875,0.4583333333333333,0.9877681732177734,1.0,0.375,1.0,0.375,1.0,0.375
1,4,32,64,30,0.6866156021910045,0.31338439780898864,7.066673278808594,0.37553625710950345,0.11268091404420022,0.979381443298969,0.6521739130434783,0.9881172180175781,1.0,0.6086956521739131,1.0,0.6956521739130435,1.0,0.6956521739130435
2,0,15,64,30,0.6737219217393612,0.3262780782606321,7.485159397125244,0.3029444378369185,0.11401383415555469,0.8541666666666666,0.5833333333333334,0.9875079989433289,1.0,0.5,1.0,0.5833333333333334,1.0,0.7083333333333334
2,1,24,64,30,0.6775169654812981,0.32248303451869514,7.34913969039917,0.3139850639055977,0.11002646641911826,0.875,0.7083333333333334,0.9879473447799683,1.0,0.8333333333333334,1.0,0.6666666666666666,1.0,0.7083333333333334
2,2,28,64,30,0.6825074449463557,0.3174925550536375,7.294607639312744,0.3485857695118876,0.11097504853659108,0.9270833333333334,0.7916666666666666,0.9879950284957886,1.0,0.75,1.0,0.75,1.0,0.7916666666666666
2,3,12,64,30,0.6707888970817594,0.3292111029182339,7.613415241241455,0.288369849713941,0.11599869543383069,0.7708333333333334,0.3333333333333333,0.9879075288772583,1.0,0.5,1.0,0.5,1.0,0.5
2,4,16,64,30,0.6772497533232893,0.322750246676704,7.487460613250732,0.314388678030071,0.10994022961509212,0.84375,0.5416666666666666,0.9885690212249756,1.0,0.5833333333333334,1.0,0.5416666666666666,1.0,0.6666666666666666
3,0,15,64,30,0.6720993615222574,0.327900638477736,7.521954536437988,0.29524577227350907,0.11692753369790808,0.8105263157894737,0.48,0.9877452850341797,1.0,0.56,1.0,0.52,1.0,0.48
3,1,17,64,30,0.6757219329098212,0.32427806709017204,7.341056823730469,0.3439952300541481,0.1153487550108454,0.9270833333333334,0.375,0.9877731800079346,1.0,0.5416666666666666,1.0,0.5833333333333334,1.0,0.4583333333333333
3,2,9,64,30,0.6649257529320483,0.33507424706794525,7.635623455047607,0.2714396059527665,0.11135393743581488,0.6458333333333334,0.75,0.987849235534668,1.0,0.5416666666666666,1.0,0.6666666666666666,1.0,0.7083333333333334
3,3,6,64,30,0.6629229925843877,0.33707700741560576,7.608574390411377,0.23449446432370635,0.1107719892203185,0.59375,0.3333333333333333,0.9884146451950073,1.0,0.7916666666666666,1.0,0.5833333333333334,1.0,0.5833333333333334
3,4,26,64,30,0.6835370153335433,0.3164629846664498,7.155855655670166,0.3580409020020566,0.11679782225743199,0.9484536082474226,0.6521739130434783,0.9881563186645508,1.0,0.6086956521739131,1.0,0.6086956521739131,1.0,0.5652173913043478
