sample_id,repeat,fold
train_003,0,0
train_005,0,0
train_009,0,0
train_010,0,0
train_013,0,0
train_017,0,0
train_018,0,0
train_022,0,0
train_023,0,0
train_024,0,0
train_025,0,0
train_026,0,0
train_027,0,0
train_028,0,0
train_031,0,0
train_032,0,0
train_033,0,0
train_035,0,0
train_037,0,0
train_038,0,0
train_039,0,0
train_040,0,0
train_041,0,0
train_043,0,0
train_045,0,0
train_046,0,0
train_047,0,0
train_051,0,0
train_057,0,0
train_059,0,0
train_068,0,0
train_070,0,0
train_074,0,0
train_075,0,0
train_076,0,0
train_079,0,0
train_082,0,0
train_083,0,0
train_084,0,0
train_086,0,0
train_089,0,0
train_090,0,0
train_091,0,0
train_093,0,0
train_094,0,0
train_095,0,0
train_096,0,0
train_102,0,0
train_103,0,0
train_106,0,0
train_107,0,0
train_108,0,0
train_109,0,0
train_110,0,0
train_111,0,0
train_114,0,0
train_116,0,0
train_117,0,0
train_118,0,0
train_120,0,0
train_001,0,1
train_002,0,1
train_004,0,1
train_006,0,1
train_007,0,1
train_008,0,1
train_011,0,1
train_012,0,1
train_014,0,1
train_015,0,1
train_016,0,1
train_019,0,1
train_020,0,1
train_021,0,1
train_029,0,1
train_030,0,1
train_034,0,1
train_036,0,1
train_042,0,1
train_044,0,1
train_048,0,1
train_049,0,1
train_050,0,1
train_052,0,1
train_053,0,1
train_054,0,1
train_055,0,1
train_056,0,1
train_058,0,1
train_060,0,1
train_061,0,1
train_062,0,1
train_063,0,1
train_064,0,1
train_065,0,1
train_066,0,1
train_067,0,1
train_069,0,1
train_071,0,1
train_072,0,1
train_073,0,1
train_077,0,1
train_078,0,1
train_080,0,1
train_081,0,1
train_085,0,1
train_087,0,1
train_088,0,1
train_092,0,1
train_097,0,1
train_098,0,1
train_099,0,1
train_100,0,1
train_101,0,1
train_104,0,1
train_105,0,1
train_112,0,1
train_113,0,1
train_115,0,1
train_119,0,1
