model,repeat,seed,sample_id,y_true,p1,p2,p3,p4,p5
autotransformer,0,42,train_001,2,0.1874890774488449,0.7651262879371643,0.02888757735490799,0.011087818071246147,0.007409308571368456
autotransformer,0,42,train_002,5,0.0065192268230021,0.013444829732179642,0.04734564200043678,0.02814999595284462,0.9045403003692627
autotransformer,0,42,train_003,2,0.0033438748214393854,0.12443032115697861,0.8675394654273987,0.002063133055344224,0.0026231459341943264
autotransformer,0,42,train_004,4,0.006573714315891266,0.021478703245520592,0.3193303644657135,0.6394563913345337,0.013160827569663525
autotransformer,0,42,train_005,5,0.004735072609037161,0.024709781631827354,0.5143491625785828,0.20559345185756683,0.2506125867366791
autotransformer,0,42,train_006,2,0.056699905544519424,0.9323478937149048,0.007286208216100931,0.0030237657483667135,0.0006421602447517216
autotransformer,0,42,train_007,2,0.003636299166828394,0.09911289066076279,0.8890872001647949,0.0030374564230442047,0.005126093979924917
autotransformer,0,42,train_008,5,0.01414625346660614,0.00696900486946106,0.1115519255399704,0.08158115297555923,0.7857516407966614
autotransformer,0,42,train_009,3,0.010920930653810501,0.04065185785293579,0.37193775177001953,0.567343533039093,0.009145938791334629
autotransformer,0,42,train_010,2,0.11331892013549805,0.45281705260276794,0.3076132833957672,0.0871923565864563,0.03905833885073662
autotransformer,0,42,train_011,3,0.06295044720172882,0.24677734076976776,0.6219301223754883,0.04643391817808151,0.021908167749643326
autotransformer,0,42,train_012,5,0.014060547575354576,0.01587953045964241,0.031061796471476555,0.0734061598777771,0.8655920028686523
autotransformer,0,42,train_013,2,0.0006618312327191234,0.05695878341794014,0.9365929365158081,0.003293637651950121,0.002492782659828663
autotransformer,0,42,train_014,5,0.003444954287260771,0.0029481041710823774,0.013095864094793797,0.011117453686892986,0.9693934917449951
autotransformer,0,42,train_015,3,0.047780442982912064,0.7897273302078247,0.14578527212142944,0.011717937886714935,0.004988967441022396
autotransformer,0,42,train_016,4,0.02177336812019348,0.012853768654167652,0.019693292677402496,0.04797286540269852,0.8977066278457642
autotransformer,0,42,train_017,2,0.9458125233650208,0.03726829215884209,0.004482102580368519,0.009294699877500534,0.0031423387117683887
autotransformer,0,42,train_018,5,0.27901721000671387,0.07232782244682312,0.09830564260482788,0.13798116147518158,0.41236814856529236
autotransformer,0,42,train_019,3,0.037994384765625,0.6492314338684082,0.29171183705329895,0.011529415845870972,0.009532932192087173
autotransformer,0,42,train_020,2,0.02879478596150875,0.9556910991668701,0.008897058665752411,0.005151157733052969,0.001465998007915914
autotransformer,0,42,train_021,5,0.0035170395858585835,0.00993412546813488,0.2941110134124756,0.008164668455719948,0.6842731833457947
autotransformer,0,42,train_022,4,0.07123994082212448,0.06535235792398453,0.09067259728908539,0.2316974699497223,0.5410376191139221
autotransformer,0,42,train_023,3,0.0014674870762974024,0.014994899742305279,0.8845506906509399,0.02917931042611599,0.06980755180120468
autotransformer,0,42,train_024,5,0.09093442559242249,0.4604276120662689,0.22019794583320618,0.0731930136680603,0.1552470326423645
autotransformer,0,42,train_025,5,0.06321831792593002,0.050983212888240814,0.28997740149497986,0.34100237488746643,0.2548186480998993
autotransformer,0,42,train_026,3,0.00101449282374233,0.007103937212377787,0.9755337834358215,0.008955322206020355,0.007392560131847858
autotransformer,0,42,train_027,2,0.0035314555279910564,0.5787122845649719,0.4083405137062073,0.006093330215662718,0.003322352422401309
autotransformer,0,42,train_028,4,0.032382890582084656,0.06581638008356094,0.5307034850120544,0.3197847306728363,0.051312580704689026
autotransformer,0,42,train_029,2,0.2760397493839264,0.6864829659461975,0.019603120163083076,0.0108850272372365,0.00698904599994421
autotransformer,0,42,train_030,5,0.0010679173283278942,0.017801417037844658,0.9460511207580566,0.00392813328653574,0.031151404604315758
autotransformer,0,42,train_031,4,0.0043527171947062016,0.009436826221644878,0.25328800082206726,0.7190739512443542,0.013848461210727692
autotransformer,0,42,train_032,3,0.06323914974927902,0.12991754710674286,0.06914298981428146,0.1757187396287918,0.5619815587997437
autotransformer,0,42,train_033,1,0.7193178534507751,0.1955191195011139,0.005047348793596029,0.06874144077301025,0.011374184861779213
autotransformer,0,42,train_034,2,0.0012099598534405231,0.168176531791687,0.8211124539375305,0.002840567845851183,0.00666048051789403
autotransformer,0,42,train_035,2,0.5774349570274353,0.38222333788871765,0.016257651150226593,0.016263851895928383,0.007820215076208115
autotransformer,0,42,train_036,2,0.061124395579099655,0.36168888211250305,0.47625938057899475,0.05721904709935188,0.04370824620127678
autotransformer,0,42,train_037,2,0.02768866717815399,0.9600046277046204,0.00849681906402111,0.0014370387652888894,0.0023728369269520044
autotransformer,0,42,train_038,3,0.006437848322093487,0.01856973208487034,0.49291524291038513,0.38550862669944763,0.09656856954097748
autotransformer,0,42,train_039,3,0.006502782925963402,0.8244280219078064,0.1381164789199829,0.004039113875478506,0.026913614943623543
autotransformer,0,42,train_040,2,0.16602569818496704,0.7918031215667725,0.027333611622452736,0.00959840603172779,0.005239221733063459
autotransformer,0,42,train_041,3,0.0008478322997689247,0.03572765737771988,0.9574339985847473,0.0025730261113494635,0.0034174956381320953
autotransformer,0,42,train_042,2,0.17110812664031982,0.06528640538454056,0.08625506609678268,0.26962146162986755,0.40772899985313416
autotransformer,0,42,train_043,4,0.010561334900557995,0.021852243691682816,0.6943375468254089,0.22734850645065308,0.04590028524398804
autotransformer,0,42,train_044,3,0.0011856637429445982,0.18015073239803314,0.8129388093948364,0.0031251024920493364,0.00259970361366868
