element,ion_state,wavelength,Ei,Ek,gi,gk,Ak,emissivity,channel,pixel,half_px,step_nm,interference,status,snr,response_ln,selected
Fe,I,396.926,1.48486439,4.60759327,9.0,7.0,22600000.0,6.836578745456405,2,4332,3,0.06201171875,0.06090614975710049,ok,21.865108762561345,-1.102990208769374,
Fe,I,400.524,1.55735733,4.65203107,7.0,5.0,20400000.0,4.125052147471149,2,4385,3,0.06201171875,0.0056352611609290166,ok,14.435055595507698,-1.066709389412936,
Fe,I,413.206,1.60789577,4.60759327,5.0,7.0,11800000.0,3.4289039282260485,2,4571,3,0.06201171875,0.11257729876838173,ok,18.831886914959792,-0.9388290806085041,
Fe,I,414.387,1.55735733,4.54850612,7.0,9.0,13300000.0,5.347087175747591,2,4589,3,0.06201171875,0.2974101689160784,ok,30.94735313629419,-0.9269203402916747,
Fe,I,420.203,1.48486439,4.43461275,9.0,9.0,8220000.0,3.7745214272409284,2,4675,3,0.06201171875,0.0009740959784462651,ok,21.132922983719915,-0.8682740797644258,
Fe,I,422.743,3.33201954,6.26404671,11.0,13.0,52900000.0,3.296790779515951,2,4713,3,0.06201171875,0.03600677955845734,ok,10.899009777427375,-0.8426617170169679,
Fe,I,426.047,2.39920471,5.30848946,11.0,11.0,39900000.0,7.157566078743678,2,4762,3,0.06201171875,0.02656112912625043,ok,34.92978766624125,-0.8093454782305111,
Fe,I,427.176,1.48486439,4.38646275,9.0,11.0,22800000.0,13.393380820284019,2,4779,3,0.06201171875,0.19087136197940374,ok,62.685311056908525,-0.797961085497488,
Fe,I,429.924,2.42543332,5.30848946,9.0,11.0,12900000.0,2.293232048627721,2,4820,3,0.06201171875,0.00789761498013525,ok,11.876922771669122,-0.7702513324148058,
Fe,I,441.512,1.60789577,4.41527878,5.0,7.0,11900000.0,4.147016401638369,2,4994,3,0.06201171875,0.001335772873688941,ok,24.242506020018887,-0.6534024900850662,
Fe,I,492.05,2.83252676,5.35157038,11.0,9.0,35800000.0,4.303772868407592,2,5774,3,0.06201171875,0.0,ok,43.75847280552391,-0.14379714026970847,
Fe,I,495.76,2.80829367,5.30848946,13.0,11.0,42200000.0,6.505653820455176,2,5833,3,0.06201171875,0.2173474579138587,ok,63.44853573712072,-0.1063869568866112,
Fe,I,500.612,2.83252676,5.30848946,11.0,11.0,5870000.0,0.8961626252040675,2,5910,3,0.06201171875,0.0004785212457416285,ok,10.234997328704402,-0.05746129387453849,
Fe,I,516.749,1.48486439,3.88350907,9.0,7.0,2720000.0,1.6076758732960068,2,6169,3,0.06201171875,0.0020450421598908644,ok,24.491458328002118,0.10525787843086393,
Fe,I,526.954,0.85899575,3.21118938,11.0,9.0,1270000.0,2.2519937264817913,2,6335,3,0.06201171875,0.3669529714351532,ok,34.96861715874899,0.2081610917528333,
Fe,I,532.804,0.91460217,3.24096914,9.0,7.0,1150000.0,1.5095452069680186,2,6432,3,0.06201171875,0.15663980023364357,ok,32.12805666311472,0.26715019493103304,
Fe,I,536.996,4.37135106,6.67955657,9.0,11.0,72200000.0,1.754091882229042,2,6503,3,0.06201171875,0.00010664186590763154,ok,17.377144582996678,0.3094206770717187,
Fe,I,537.149,0.95815732,3.2657061,7.0,5.0,1050000.0,0.9458671958616662,2,6503,3,0.06201171875,0.0012012827836197747,ok,17.377144582996678,0.3109634690009951,
Fe,II,539.585,10.6000744,12.8972034,6.0,8.0,55000000.0,0.00028724297052385534,2,6546,3,0.06201171875,0.0,ok,8.7284033985045,0.3355271365808404,False
Fe,II,544.58,10.5446893,12.8207506,4.0,6.0,29100000.0,0.00012463810475916965,2,6629,3,0.06201171875,0.16430226602960396,ok,10.715243466568259,0.38589475544838,False
