n_lines,removed,max_abs_residual,median_r2,median_T,median_slope_se,removed_line
36,-1,2.925176256759028,0.5088243279492081,11454.469681457294,0.1706513432200455,
35,7,2.8935287972653083,0.6645886267086483,10174.496174438285,0.14106148203239768,406.244
34,13,0.9957027739069786,0.8604672240359652,8619.898367226984,0.09595086895945862,420.092
33,0,0.8379473139131011,0.883399523626781,8436.672768073746,0.089847115417727,382.588
32,2,0.7536175638981883,0.9001479983373389,8283.033907859051,0.08536314671643697,383.422
31,22,0.7257969737961099,0.9127528462207173,8172.863309867696,0.08160425303800453,438.354
30,6,0.6036625229042278,0.9247620902146327,8107.301076059399,0.0772368059701444,404.581
29,1,0.5742205626847996,0.9330434980276657,8089.927692758149,0.07397411723387654,382.782
28,8,0.5133128063193766,0.9406592990326783,8045.383331683828,0.07106672004562767,406.359
27,35,0.5439658709233703,0.9443549622035077,8178.378861008925,0.06893367422442967,561.564
26,34,0.6231974808603864,0.9488915683446502,8376.886278366946,0.06549917991125223,558.676
25,29,0.47037593484690365,0.9574007154539097,8559.913430805691,0.05950712945987852,523.294
24,23,0.45461301302751744,0.9637515528928815,8483.02009423467,0.05646923962286543,440.475
23,21,0.43917697493717744,0.9697206067931897,8418.596601594076,0.05312737065206673,432.576
22,9,0.4468166637537898,0.9754198381726997,8357.740531407577,0.04913388206799191,407.174
21,3,0.4024677061396442,0.9817646204458814,8287.788812734962,0.04392887656225507,390.295
20,20,0.317337898275162,0.986382036673668,8212.048383274701,0.03920700877425808,430.790
19,10,0.28431063811898794,0.9882384412237517,8010.5661081995495,0.03843695934646573,411.854
18,16,0.21399888426248115,0.9907630007439687,7960.420286389879,0.03530136118627649,423.594
