sample_id,repeat,fold
train_003,0,0
train_006,0,0
train_012,0,0
train_014,0,0
train_017,0,0
train_037,0,0
train_039,0,0
train_043,0,0
train_045,0,0
train_047,0,0
train_048,0,0
train_060,0,0
train_066,0,0
train_068,0,0
train_070,0,0
train_077,0,0
train_081,0,0
train_100,0,0
train_102,0,0
train_107,0,0
train_108,0,0
train_111,0,0
train_112,0,0
train_116,0,0
train_011,0,1
train_018,0,1
train_025,0,1
train_028,0,1
train_032,0,1
train_042,0,1
train_056,0,1
train_058,0,1
train_064,0,1
train_072,0,1
train_073,0,1
train_079,0,1
train_082,0,1
train_090,0,1
train_091,0,1
train_092,0,1
train_093,0,1
train_095,0,1
train_099,0,1
train_104,0,1
train_109,0,1
train_114,0,1
train_118,0,1
train_119,0,1
train_120,0,1
train_007,0,2
train_008,0,2
train_013,0,2
train_020,0,2
train_021,0,2
train_023,0,2
train_026,0,2
train_027,0,2
train_030,0,2
train_031,0,2
train_033,0,2
train_034,0,2
train_041,0,2
train_044,0,2
train_052,0,2
train_055,0,2
train_059,0,2
train_062,0,2
train_069,0,2
train_087,0,2
train_088,0,2
train_105,0,2
train_106,0,2
train_110,0,2
train_001,0,3
train_002,0,3
train_004,0,3
train_005,0,3
train_009,0,3
train_015,0,3
train_016,0,3
train_019,0,3
train_029,0,3
train_035,0,3
train_038,0,3
train_040,0,3
train_046,0,3
train_051,0,3
train_054,0,3
train_065,0,3
train_075,0,3
train_076,0,3
train_094,0,3
train_096,0,3
train_097,0,3
train_098,0,3
train_117,0,3
train_010,0,4
train_022,0,4
train_024,0,4
train_036,0,4
train_049,0,4
train_050,0,4
train_053,0,4
train_057,0,4
train_061,0,4
train_063,0,4
train_067,0,4
train_071,0,4
train_074,0,4
train_078,0,4
train_080,0,4
train_083,0,4
train_084,0,4
train_085,0,4
train_086,0,4
train_089,0,4
train_101,0,4
train_103,0,4
train_113,0,4
train_115,0,4
train_002,1,0
train_007,1,0
train_014,1,0
train_027,1,0
train_033,1,0
train_034,1,0
train_040,1,0
train_048,1,0
train_050,1,0
train_065,1,0
train_071,1,0
train_073,1,0
train_076,1,0
train_077,1,0
train_081,1,0
train_092,1,0
train_094,1,0
train_098,1,0
train_099,1,0
train_101,1,0
train_109,1,0
train_112,1,0
train_114,1,0
train_115,1,0
train_120,1,0
train_009,1,1
train_013,1,1
train_030,1,1
train_031,1,1
train_038,1,1
train_043,1,1
train_045,1,1
train_047,1,1
train_051,1,1
train_054,1,1
train_055,1,1
train_059,1,1
train_061,1,1
train_072,1,1
train_074,1,1
train_080,1,1
train_082,1,1
train_086,1,1
train_100,1,1
train_108,1,1
train_110,1,1
train_111,1,1
train_118,1,1
train_119,1,1
train_001,1,2
train_008,1,2
train_011,1,2
train_018,1,2
train_021,1,2
train_026,1,2
train_028,1,2
train_029,1,2
train_032,1,2
train_036,1,2
train_041,1,2
train_044,1,2
train_057,1,2
train_058,1,2
train_060,1,2
train_062,1,2
train_064,1,2
train_069,1,2
train_075,1,2
train_078,1,2
train_091,1,2
train_096,1,2
train_104,1,2
train_105,1,2
train_005,1,3
train_006,1,3
train_019,1,3
train_020,1,3
train_022,1,3
train_025,1,3
train_035,1,3
train_039,1,3
train_042,1,3
train_046,1,3
train_052,1,3
train_053,1,3
train_063,1,3
train_068,1,3
train_079,1,3
train_083,1,3
train_084,1,3
train_088,1,3
train_089,1,3
train_093,1,3
train_097,1,3
train_106,1,3
train_113,1,3
train_116,1,3
train_003,1,4
train_004,1,4
train_010,1,4
train_012,1,4
train_015,1,4
train_016,1,4
train_017,1,4
train_023,1,4
train_024,1,4
train_037,1,4
train_049,1,4
train_056,1,4
train_066,1,4
train_067,1,4
train_070,1,4
train_085,1,4
train_087,1,4
train_090,1,4
train_095,1,4
train_102,1,4
train_103,1,4
train_107,1,4
train_117,1,4
train_005,2,0
train_006,2,0
train_018,2,0
train_023,2,0
train_026,2,0
train_027,2,0
train_035,2,0
train_039,2,0
train_049,2,0
train_050,2,0
train_057,2,0
train_058,2,0
train_059,2,0
train_060,2,0
train_069,2,0
train_074,2,0
train_075,2,0
train_078,2,0
train_088,2,0
train_090,2,0
train_103,2,0
train_105,2,0
train_110,2,0
train_111,2,0
train_007,2,1
train_011,2,1
train_013,2,1
train_017,2,1
train_020,2,1
train_024,2,1
train_031,2,1
train_062,2,1
train_063,2,1
train_067,2,1
train_080,2,1
train_083,2,1
train_084,2,1
train_086,2,1
train_095,2,1
train_099,2,1
train_102,2,1
train_106,2,1
train_107,2,1
train_109,2,1
train_114,2,1
train_116,2,1
train_119,2,1
train_120,2,1
train_004,2,2
train_008,2,2
train_014,2,2
train_019,2,2
train_029,2,2
train_038,2,2
train_048,2,2
train_055,2,2
train_061,2,2
train_064,2,2
train_070,2,2
train_071,2,2
train_087,2,2
train_089,2,2
train_093,2,2
train_094,2,2
train_096,2,2
train_100,2,2
train_101,2,2
train_112,2,2
train_113,2,2
train_115,2,2
train_117,2,2
train_118,2,2
train_001,2,3
train_016,2,3
train_021,2,3
train_025,2,3
train_028,2,3
train_030,2,3
train_032,2,3
train_034,2,3
train_037,2,3
train_041,2,3
train_042,2,3
train_044,2,3
train_051,2,3
train_054,2,3
train_066,2,3
train_068,2,3
train_072,2,3
train_076,2,3
train_081,2,3
train_082,2,3
train_085,2,3
train_091,2,3
train_104,2,3
train_108,2,3
train_002,2,4
train_003,2,4
train_009,2,4
train_010,2,4
train_012,2,4
train_015,2,4
train_022,2,4
train_033,2,4
train_036,2,4
train_040,2,4
train_043,2,4
train_045,2,4
train_046,2,4
train_047,2,4
train_052,2,4
train_053,2,4
train_056,2,4
train_065,2,4
train_073,2,4
train_077,2,4
train_079,2,4
train_092,2,4
train_097,2,4
train_098,2,4
train_002,3,0
train_017,3,0
train_018,3,0
train_026,3,0
train_028,3,0
train_030,3,0
train_031,3,0
train_033,3,0
train_035,3,0
train_038,3,0
train_041,3,0
train_042,3,0
train_056,3,0
train_069,3,0
train_078,3,0
train_085,3,0
train_088,3,0
train_089,3,0
train_090,3,0
train_091,3,0
train_095,3,0
train_109,3,0
train_115,3,0
train_117,3,0
train_118,3,0
train_003,3,1
train_011,3,1
train_012,3,1
train_013,3,1
train_016,3,1
train_021,3,1
train_029,3,1
train_032,3,1
train_036,3,1
train_046,3,1
train_051,3,1
train_055,3,1
train_057,3,1
train_059,3,1
train_063,3,1
train_070,3,1
train_072,3,1
train_073,3,1
train_074,3,1
train_081,3,1
train_093,3,1
train_097,3,1
train_100,3,1
train_110,3,1
train_001,3,2
train_007,3,2
train_010,3,2
train_014,3,2
train_023,3,2
train_025,3,2
train_039,3,2
train_040,3,2
train_044,3,2
train_048,3,2
train_050,3,2
train_053,3,2
train_054,3,2
train_062,3,2
train_075,3,2
train_082,3,2
train_083,3,2
train_084,3,2
train_086,3,2
train_098,3,2
train_107,3,2
train_108,3,2
train_111,3,2
train_119,3,2
train_004,3,3
train_006,3,3
train_008,3,3
train_009,3,3
train_027,3,3
train_034,3,3
train_045,3,3
train_052,3,3
train_058,3,3
train_060,3,3
train_064,3,3
train_065,3,3
train_066,3,3
train_071,3,3
train_076,3,3
train_077,3,3
train_079,3,3
train_080,3,3
train_087,3,3
train_094,3,3
train_101,3,3
train_105,3,3
train_106,3,3
train_120,3,3
train_005,3,4
train_015,3,4
train_019,3,4
train_020,3,4
train_022,3,4
train_024,3,4
train_037,3,4
train_043,3,4
train_047,3,4
train_049,3,4
train_061,3,4
train_067,3,4
train_068,3,4
train_092,3,4
train_096,3,4
train_099,3,4
train_102,3,4
train_103,3,4
train_104,3,4
train_112,3,4
train_113,3,4
train_114,3,4
train_116,3,4
