pair,w_a,accuracy,accuracy_std,balanced_accuracy,macro_f1
token_cnn+pca_mlp,0.0,0.7145833333333333,0.04098399077688753,0.6588049450549451,0.6749053314029889
token_cnn+pca_mlp,0.1,0.7166666666666667,0.035843021946010946,0.6548626373626373,0.6728685961449414
token_cnn+pca_mlp,0.2,0.70625,0.03083051788947656,0.6413736263736263,0.6613091695264299
token_cnn+pca_mlp,0.30000000000000004,0.7000000000000001,0.03584302194601094,0.6324313186813186,0.6543139522771615
token_cnn+pca_mlp,0.4,0.6958333333333334,0.029166666666666653,0.6174999999999999,0.6432876190427405
token_cnn+pca_mlp,0.5,0.675,0.028259708263021942,0.5902472527472526,0.6164469124470559
token_cnn+pca_mlp,0.6000000000000001,0.6416666666666667,0.028259708263021974,0.5485302197802198,0.5757061092587649
token_cnn+pca_mlp,0.7000000000000001,0.5791666666666666,0.018162078931419454,0.46622252747252746,0.4856946244150404
token_cnn+pca_mlp,0.8,0.53125,0.009081039465709704,0.4004532967032967,0.4080227446309691
token_cnn+pca_mlp,0.9,0.46041666666666664,0.0136613302589625,0.32707417582417586,0.3277093473440044
token_cnn+pca_mlp,1.0,0.4,0.0,0.2815384615384615,0.28210486742000596
token_cnn+pixel_cnn,0.0,0.5166666666666667,0.0,0.4313186813186813,0.43660164905016163
token_cnn+pixel_cnn,0.1,0.49166666666666664,0.0,0.3966483516483516,0.40327220876419956
token_cnn+pixel_cnn,0.2,0.5166666666666667,0.0,0.4116483516483516,0.4213749861104497
token_cnn+pixel_cnn,0.30000000000000004,0.5083333333333333,0.0,0.4066483516483517,0.42133591734188974
token_cnn+pixel_cnn,0.4,0.49166666666666664,0.0,0.376978021978022,0.38556405595111853
token_cnn+pixel_cnn,0.5,0.48333333333333334,0.0,0.3626923076923077,0.36406331831371347
token_cnn+pixel_cnn,0.6000000000000001,0.48333333333333334,0.0,0.3626923076923077,0.3642416906659988
token_cnn+pixel_cnn,0.7000000000000001,0.4583333333333333,0.0,0.33730769230769236,0.33900750672506796
token_cnn+pixel_cnn,0.8,0.4583333333333333,0.0,0.33730769230769236,0.3414679385267621
token_cnn+pixel_cnn,0.9,0.425,0.0,0.3069230769230769,0.312009190244617
token_cnn+pixel_cnn,1.0,0.4,0.0,0.2815384615384615,0.28210486742000596
