pair,w_a,accuracy,accuracy_std,balanced_accuracy,macro_f1
token_cnn+pca_mlp,0.0,0.7145833333333333,0.04098399077688753,0.6588049450549451,0.6749053314029889
token_cnn+pca_mlp,0.1,0.7145833333333333,0.04055817152902455,0.6562087912087913,0.6723981739405143
token_cnn+pca_mlp,0.2,0.7145833333333333,0.027873100333874266,0.6559340659340659,0.6741142106299649
token_cnn+pca_mlp,0.30000000000000004,0.7104166666666667,0.029092166757851947,0.653434065934066,0.6716004414637677
token_cnn+pca_mlp,0.4,0.7083333333333334,0.03173238794109963,0.649587912087912,0.6702855725287941
token_cnn+pca_mlp,0.5,0.6958333333333334,0.029166666666666657,0.6345741758241759,0.6567172325889946
token_cnn+pca_mlp,0.6000000000000001,0.7083333333333334,0.030618621784789708,0.6431730769230768,0.6681391349305844
token_cnn+pca_mlp,0.7000000000000001,0.6541666666666667,0.03461093276215863,0.5759752747252748,0.6020033350205956
token_cnn+pca_mlp,0.8,0.6041666666666666,0.012499999999999983,0.5086813186813186,0.5324801246695339
token_cnn+pca_mlp,0.9,0.55,0.005892556509887914,0.4591071428571428,0.47611852160715773
token_cnn+pca_mlp,1.0,0.49166666666666664,0.0,0.4059340659340659,0.41789948400653315
token_cnn+pixel_cnn,0.0,0.5833333333333333,0.00833333333333336,0.5338736263736263,0.5354269669940188
token_cnn+pixel_cnn,0.1,0.6,0.0,0.5542582417582418,0.5537063869936332
token_cnn+pixel_cnn,0.2,0.5875,0.004166666666666652,0.541565934065934,0.5408840025993946
token_cnn+pixel_cnn,0.30000000000000004,0.5916666666666667,0.0,0.544065934065934,0.5434205006534505
token_cnn+pixel_cnn,0.4,0.5958333333333333,0.004166666666666652,0.5465659340659341,0.5470131754013342
token_cnn+pixel_cnn,0.5,0.5958333333333333,0.004166666666666652,0.5465659340659341,0.5470029721995098
token_cnn+pixel_cnn,0.6000000000000001,0.6000000000000001,0.016666666666666663,0.5542582417582418,0.5533311796145199
token_cnn+pixel_cnn,0.7000000000000001,0.5666666666666667,0.016666666666666663,0.5093956043956044,0.5127638193227526
token_cnn+pixel_cnn,0.8,0.5666666666666667,0.025000000000000022,0.495467032967033,0.5074335901572283
token_cnn+pixel_cnn,0.9,0.5166666666666666,0.00833333333333336,0.4261263736263736,0.4373285059429637
token_cnn+pixel_cnn,1.0,0.49166666666666664,0.0,0.4059340659340659,0.41789948400653315
