pair,w_a,accuracy,balanced_accuracy,macro_f1
token_cnn+pca_mlp,0.0,0.7666666666666667,0.7201098901098901,0.7359157670903328
token_cnn+pca_mlp,0.1,0.775,0.7251098901098901,0.7448496185903432
token_cnn+pca_mlp,0.2,0.775,0.7251098901098901,0.7448496185903432
token_cnn+pca_mlp,0.30000000000000004,0.7666666666666667,0.7108241758241759,0.732968077398457
token_cnn+pca_mlp,0.4,0.7666666666666667,0.7212087912087911,0.7448533076119283
token_cnn+pca_mlp,0.5,0.75,0.6904395604395605,0.7188296564663259
token_cnn+pca_mlp,0.6000000000000001,0.7416666666666667,0.6854395604395604,0.7097579091831966
token_cnn+pca_mlp,0.7000000000000001,0.725,0.6754395604395605,0.6920897748483956
token_cnn+pca_mlp,0.8,0.6583333333333333,0.5857142857142856,0.6015181536216019
token_cnn+pca_mlp,0.9,0.6,0.531043956043956,0.5353660388143147
token_cnn+pca_mlp,1.0,0.5416666666666666,0.4648901098901098,0.46263787298270065
token_cnn+pixel_cnn,0.0,0.6,0.558901098901099,0.5504330484330484
token_cnn+pixel_cnn,0.1,0.6,0.558901098901099,0.5514574898785425
token_cnn+pixel_cnn,0.2,0.6166666666666667,0.5792857142857143,0.5719197635666226
token_cnn+pixel_cnn,0.30000000000000004,0.6166666666666667,0.5792857142857143,0.5719197635666226
token_cnn+pixel_cnn,0.4,0.6,0.5692857142857142,0.5576190476190476
token_cnn+pixel_cnn,0.5,0.6083333333333333,0.5639010989010989,0.5587686387686387
token_cnn+pixel_cnn,0.6000000000000001,0.6166666666666667,0.5585164835164835,0.5587348668818853
token_cnn+pixel_cnn,0.7000000000000001,0.6166666666666667,0.5678021978021979,0.5601237412527735
token_cnn+pixel_cnn,0.8,0.575,0.5149450549450549,0.5108084511960886
token_cnn+pixel_cnn,0.9,0.5666666666666667,0.4902747252747252,0.48648715625459815
token_cnn+pixel_cnn,1.0,0.5416666666666666,0.4648901098901098,0.46263787298270065
