pair,w_a,accuracy,accuracy_std,balanced_accuracy,macro_f1
transformer+pca_mlp,0.0,0.7145833333333333,0.04098399077688753,0.6588049450549451,0.6749053314029889
transformer+pca_mlp,0.1,0.7208333333333333,0.03461093276215867,0.6651510989010989,0.6816401286975279
transformer+pca_mlp,0.2,0.71875,0.027873100333874284,0.6613049450549451,0.6774896494924418
transformer+pca_mlp,0.30000000000000004,0.7125,0.021650635094610942,0.6601510989010989,0.6761202340095258
transformer+pca_mlp,0.4,0.71875,0.01600238697472626,0.6667719780219781,0.6821469616667647
transformer+pca_mlp,0.5,0.7291666666666667,0.013819269959814159,0.6914697802197801,0.702268461125301
transformer+pca_mlp,0.6000000000000001,0.6979166666666666,0.02525907427704612,0.668076923076923,0.6772930325315916
transformer+pca_mlp,0.7000000000000001,0.63125,0.01987373336285305,0.5876373626373627,0.5941098222704813
transformer+pca_mlp,0.8,0.5791666666666667,0.015023130314433282,0.5341208791208791,0.5328507185340918
transformer+pca_mlp,0.9,0.5041666666666667,0.004166666666666652,0.47464285714285714,0.4678902152728918
transformer+pca_mlp,1.0,0.475,0.0,0.4363736263736264,0.4325055336820043
transformer+pixel_cnn,0.0,0.5833333333333333,0.00833333333333336,0.5338736263736263,0.5354269669940188
transformer+pixel_cnn,0.1,0.5916666666666667,0.0,0.544065934065934,0.5423486266105564
transformer+pixel_cnn,0.2,0.5875,0.004166666666666652,0.5363736263736263,0.5357864927077268
transformer+pixel_cnn,0.30000000000000004,0.5875,0.004166666666666652,0.541565934065934,0.5383128915847739
transformer+pixel_cnn,0.4,0.5874999999999999,0.012500000000000011,0.5571428571428572,0.549966551966552
transformer+pixel_cnn,0.5,0.6,0.008333333333333304,0.5911538461538461,0.5794896718803038
transformer+pixel_cnn,0.6000000000000001,0.6,0.008333333333333304,0.5813186813186813,0.5772103938177389
transformer+pixel_cnn,0.7000000000000001,0.5791666666666666,0.02916666666666662,0.5636263736263736,0.553249803580552
transformer+pixel_cnn,0.8,0.5375,0.004166666666666652,0.5143131868131869,0.504737632176713
transformer+pixel_cnn,0.9,0.49583333333333335,0.012499999999999983,0.4742857142857143,0.46559629117153334
transformer+pixel_cnn,1.0,0.475,0.0,0.4363736263736264,0.4325055336820043
