shot_bin,spectral_pca,channels,lr,mixup_alpha,dropout,bin_factor,n_shots,accuracy,accuracy_std,balanced_accuracy,macro_f1,fit_seconds
4,48,"48,96,192",0.001,0.0,0.35,8,50,0.49166666666666664,0.0,0.3862637362637362,0.3975624922273349,22.140536876000624
4,48,"48,96",0.001,0.0,0.3,8,50,0.475,0.0,0.3948351648351648,0.397758367530691,16.767681565999737
4,48,"32,64,128",0.001,0.0,0.35,8,50,0.425,0.0,0.3473626373626374,0.3458398105959081,20.214435470999888
4,48,"48,96,192",0.0015,0.0,0.35,8,50,0.4166666666666667,0.0,0.309010989010989,0.308988344988345,20.457912445999682
4,48,"48,96,192",0.001,0.15,0.35,8,50,0.4166666666666667,0.0,0.34126373626373624,0.3412666612284852,21.201223144000323
2,48,"48,96,192",0.001,0.0,0.35,8,100,0.4166666666666667,0.0,0.34016483516483514,0.33212698412698416,28.390061391999552
4,32,"48,96,192",0.001,0.0,0.3,8,50,0.4,0.0,0.3104945054945055,0.3136161616161616,19.042549567000606
4,48,"48,96,192",0.0008,0.0,0.3,8,50,0.38333333333333336,0.0,0.3212637362637362,0.3311699948796723,20.51582941000015
4,48,"64,128,256",0.001,0.0,0.4,8,50,0.38333333333333336,0.0,0.289010989010989,0.2888172898974727,24.54030289399998
4,64,"48,96,192",0.001,0.0,0.3,8,50,0.3333333333333333,0.0,0.2601098901098901,0.27635825843054757,23.066543535000164
