sample_id,label,C I 247.9 surface,C I 247.9 dip,Fe I 404.6 surface,Fe I 404.6 dip,Cr I 425.4 surface,Cr I 425.4 dip,Mn I 403.1 surface,Mn I 403.1 dip,H I 656.3 surface,H I 656.3 dip,O I 777.4 surface,O I 777.4 dip
train_001,2,1.0960513,0.78029907,1.1735374,0.558156,1.3650897,0.71489817,1.3584596,0.834458,1.5433586,1.2591268,0.782063,0.782063
train_002,5,1.0815123,0.6397963,1.4701519,0.1980501,1.4890785,0.2735353,1.3514414,0.405742,1.5830243,0.49443924,1.1675234,0.32560155
train_003,2,1.1858047,0.7106459,1.5784312,0.27616045,1.9105313,0.4048106,1.7304618,0.5620084,2.0261576,0.95615035,1.0932881,1.0640047
train_004,4,1.0311396,0.6647234,1.5165458,0.2960803,2.026533,0.5101427,1.8109665,0.5695362,1.6955758,0.98950934,1.017752,1.017752
train_005,5,0.96333927,0.7284174,1.1298808,0.37756366,1.329192,0.5366236,1.3036603,0.6504894,2.2487187,0.88553286,1.387953,0.9716001
train_006,2,1.1294777,0.6843177,1.9114593,0.21204802,2.3930728,0.33937076,2.081305,0.4974394,2.0477386,0.7541581,1.1415188,0.6836798
train_007,2,1.0791215,0.71910244,1.6325659,0.33205193,1.9543221,0.48748302,1.5094119,0.6135772,2.3818448,0.9869941,1.4641602,0.9563785
train_008,5,0.8863571,0.6926958,0.9867312,0.37231416,1.3846796,0.5074256,1.1582341,0.64947534,2.0809443,0.99321425,0.847249,0.847249
train_009,3,0.9924403,0.6824741,0.96991843,0.2549326,1.131237,0.40931454,1.122488,0.517233,2.0132794,0.9257532,0.9514569,0.9514569
train_010,2,1.2484009,0.68605185,1.5351557,0.2735807,1.7343144,0.45629168,1.45857,0.59422857,2.7598276,0.78590626,1.4324944,0.8389544
train_011,3,1.1225672,0.71322125,1.2099043,0.23212205,1.4702157,0.38239026,1.3638682,0.5497452,1.6604649,0.89532006,0.91824675,0.91824675
train_012,5,1.0568354,0.7928333,1.627802,0.46012884,1.9823638,0.612675,1.6563823,0.68912303,2.0253968,0.943739,1.1676887,1.0332596
train_013,2,1.1773661,0.64559656,1.9476713,0.24073435,2.6050322,0.45177326,2.2613297,0.55111307,1.6639575,0.8813863,0.9990295,0.9041858
train_014,5,0.8788962,0.78728014,0.38761523,0.26931128,0.3911211,0.3911211,0.56633645,0.56633645,1.1071614,1.0974314,0.4253988,0.4253988
train_015,3,1.2539685,0.6858082,1.518082,0.22282726,1.7423282,0.32833254,1.4667959,0.50128955,2.5916343,0.72421604,1.1884632,0.6048024
train_016,4,1.0168097,0.7385971,1.5033114,0.2266035,1.8507198,0.35931134,1.6054564,0.5080629,2.2529607,0.9293794,1.1471484,0.9810727
train_017,2,1.2597597,0.8009444,1.9849362,0.4913183,2.5733771,0.63691205,2.159646,0.75219744,1.8944007,0.99856937,0.9789766,0.9789766
train_018,5,1.0651834,0.6967639,1.1489683,0.4459566,1.2719406,0.5809013,1.1330736,0.6214449,2.1263525,0.6118074,1.5881957,0.47454286
train_019,3,1.0086306,0.7197154,1.3874301,0.25923374,1.7803102,0.44267923,1.5947963,0.60835767,1.5552806,0.82125276,0.84675735,0.77013636
train_020,2,1.2634537,0.69983673,1.4706733,0.2519427,1.4956131,0.3291053,1.3688513,0.46678722,2.1750753,0.86932874,1.2436992,0.7389063
train_021,5,1.096807,0.6777092,1.6063993,0.25839543,1.769034,0.4103964,1.6666311,0.5346363,1.8357873,0.6948107,1.1628611,0.61846447
