block,row_accuracy,shots,sample_acc_this_block_only,sample_acc_without_block,delta_without_block,row_acc_level1,row_acc_level2,row_acc_level3,row_acc_level4,row_acc_level5
1,0.63,1-20,0.6299999999999999,0.7491666666666668,-0.0024999999999999467,0.6153846153846154,0.68,0.6475,0.4857142857142857,0.5923076923076923
2,0.6616666666666666,21-40,0.6616666666666667,0.7508333333333334,-0.0008333333333333526,0.5384615384615384,0.765,0.7075,0.4714285714285714,0.5307692307692308
3,0.69,41-60,0.69,0.7508333333333332,-0.0008333333333334636,0.5538461538461539,0.6875,0.81,0.5285714285714286,0.6384615384615384
4,0.7008333333333333,61-80,0.7008333333333333,0.7458333333333333,-0.005833333333333357,0.6076923076923076,0.7225,0.7625,0.5642857142857143,0.6846153846153846
5,0.7308333333333333,81-100,0.7308333333333333,0.7441666666666668,-0.007499999999999951,0.6307692307692307,0.7525,0.7525,0.6428571428571429,0.7923076923076923
6,0.7125,101-120,0.7125000000000001,0.7491666666666668,-0.0024999999999999467,0.6307692307692307,0.75,0.6825,0.6285714285714286,0.8615384615384616
7,0.7325,121-140,0.7324999999999999,0.7474999999999999,-0.004166666666666763,0.5692307692307692,0.7625,0.775,0.6142857142857143,0.8
8,0.7108333333333333,141-160,0.7108333333333332,0.755,0.0033333333333332993,0.6384615384615384,0.7275,0.785,0.5071428571428571,0.7230769230769231
9,0.7158333333333333,161-180,0.7158333333333334,0.75,-0.0016666666666667052,0.6,0.755,0.755,0.5857142857142857,0.7307692307692307
10,0.7083333333333334,181-200,0.7083333333333333,0.7483333333333334,-0.0033333333333332993,0.5846153846153846,0.75,0.7725,0.5714285714285714,0.6538461538461539
