config_id,scaling,n_bins,n_pc,hidden,alpha,balance,precision_macro,precision_macro_std,recall_macro,recall_macro_std,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,accuracy,accuracy_std
0,center,4,10,"(64,)",0.001,False,0.33847636009423604,0.0399424802193397,0.34031135531135526,0.04085058807035246,0.3365679388930786,0.03965765537919193,0.4174390308903508,0.04162096105620245,0.4305555555555555,0.043744488188954496
1,center,4,10,"(64,)",0.001,True,0.34243801225123754,0.04414841527114051,0.3369413919413919,0.0417576714182502,0.3370965749644543,0.042613465104884875,0.41609941112558674,0.03746928670692316,0.4222222222222222,0.038689967436622535
2,center,4,10,"(64,)",0.01,False,0.3438302843073288,0.056689130781334245,0.33994505494505506,0.05100866426848737,0.33814890319934693,0.05203979244477877,0.4181101944370211,0.049541824652359054,0.4305555555555556,0.050154083570188294
3,center,4,10,"(64,)",0.01,True,0.3401616540640931,0.05337319061982949,0.3351465201465202,0.04692308407179548,0.3345007711452797,0.048967947710419346,0.41686323257534447,0.04175512389152201,0.425,0.042491829279939865
4,center,4,10,"(64,)",0.1,False,0.35502866638829284,0.04660863533744256,0.35113553113553114,0.04242665196870409,0.3502914314919871,0.04383121116233628,0.428862186665045,0.04585341657474603,0.4388888888888889,0.04530418452861137
5,center,4,10,"(64,)",0.1,True,0.3467135391499688,0.04633414811314025,0.3402747252747253,0.04193218543483205,0.34042908242048514,0.043388275326130966,0.4202851506874885,0.03432769969519444,0.42777777777777776,0.03356401659331824
6,center,4,10,"(128, 64)",0.001,False,0.34676484471698216,0.02156641763019254,0.33705128205128204,0.02376805348716464,0.3383897149441899,0.02372789852405375,0.42049230048888925,0.026499386744692124,0.43333333333333335,0.024532669073132916
7,center,4,10,"(128, 64)",0.001,True,0.35395659433587284,0.04213667229449557,0.34384615384615386,0.040302587946405094,0.3465511993224881,0.041293157836243925,0.42992117045785944,0.04419096436965811,0.43888888888888894,0.043744488188954496
8,center,4,10,"(128, 64)",0.01,False,0.35191765486979226,0.02902904819857288,0.34217948717948715,0.030937736310574643,0.34324241779689285,0.03079573179797836,0.4231315316281204,0.030237284739473597,0.4361111111111111,0.028327886186626575
9,center,4,10,"(128, 64)",0.01,True,0.3489802142582729,0.04566886768537664,0.34230769230769226,0.04856908734184718,0.34417171963396687,0.047962624060820185,0.4241261666332936,0.05167180808828997,0.4305555555555556,0.04922234762963708
10,center,4,10,"(128, 64)",0.1,False,0.37680956281742106,0.026845877637573703,0.366025641025641,0.02853619740113877,0.36857330360448964,0.028197357317730345,0.4426407531275125,0.028860258162038983,0.4527777777777778,0.027498597046143495
11,center,4,10,"(128, 64)",0.1,True,0.35043901656308335,0.036717165866042185,0.34384615384615386,0.037069063179348966,0.3454687571795547,0.037387916138464254,0.43171099393551166,0.03996990116212662,0.4388888888888889,0.038689967436622535
12,center,4,20,"(64,)",0.001,False,0.5025721908282383,0.010526707022758524,0.4567032967032967,0.02304030759912656,0.4704954733912023,0.019839354072739093,0.5326785788602408,0.017249813187655904,0.5416666666666666,0.011785113019775802
13,center,4,20,"(64,)",0.001,True,0.4907081007655751,0.032027297439305366,0.47304029304029305,0.03602961200928387,0.4780536040121919,0.032584022158906156,0.5296098722703206,0.0323812922417337,0.5361111111111111,0.03356401659331827
14,center,4,20,"(64,)",0.01,False,0.5025721908282383,0.010526707022758524,0.4567032967032967,0.02304030759912656,0.4704954733912023,0.019839354072739093,0.5326785788602408,0.017249813187655904,0.5416666666666666,0.011785113019775802
15,center,4,20,"(64,)",0.01,True,0.4907081007655751,0.032027297439305366,0.47304029304029305,0.03602961200928387,0.4780536040121919,0.032584022158906156,0.5296098722703206,0.0323812922417337,0.5361111111111111,0.03356401659331827
16,center,4,20,"(64,)",0.1,False,0.5015741460818846,0.013223923169676136,0.4567032967032967,0.027061429668950754,0.4708530932622144,0.02337025124944721,0.5334049138911303,0.021611127963428747,0.5416666666666666,0.018002057495577376
17,center,4,20,"(64,)",0.1,True,0.4952100956752119,0.031291304231760346,0.4763736263736264,0.03376408274216665,0.48235127294056795,0.031389663100199625,0.5355963956063318,0.029102687114541833,0.5416666666666666,0.029658550700086973
18,center,4,20,"(128, 64)",0.001,False,0.52080166210601,0.029852423017615606,0.49864468864468864,0.022238218625044808,0.5045481581483382,0.025090048807714427,0.5709242883605787,0.02836024877373653,0.5833333333333334,0.029658550700086973
19,center,4,20,"(128, 64)",0.001,True,0.5312297832886068,0.02662317669102741,0.5253479853479853,0.026461100864874576,0.5235359292219971,0.02340215322760904,0.5853859689931836,0.02908820834323721,0.5944444444444444,0.032155102507750596
20,center,4,20,"(128, 64)",0.01,False,0.5251994301994303,0.033670459436373236,0.5054395604395604,0.029766632478823152,0.5105415221107539,0.03162825435720089,0.5767213782353152,0.03353092151923593,0.5888888888888889,0.03356401659331827
21,center,4,20,"(128, 64)",0.01,True,0.5312297832886068,0.02662317669102741,0.5253479853479853,0.026461100864874576,0.5235359292219971,0.02340215322760904,0.5853859689931836,0.02908820834323721,0.5944444444444444,0.032155102507750596
22,center,4,20,"(128, 64)",0.1,False,0.5135224097660286,0.003654300846153278,0.49697802197802193,0.010639496652711796,0.5004037784618015,0.007020432242941948,0.5700557202357587,0.015220974404103544,0.5805555555555556,0.014163943093313291
23,center,4,20,"(128, 64)",0.1,True,0.5261109450118738,0.027802580912692505,0.5203479853479854,0.028497273920251198,0.5186431953620319,0.024985361153675292,0.5772356860641816,0.031225623417814184,0.5861111111111111,0.034246744460938776
24,center,4,30,"(64,)",0.001,False,0.5137479120332687,0.018516239976837708,0.500934065934066,0.015202281632164711,0.5026444390297892,0.015471804086129064,0.5649127135187322,0.012055613956245222,0.5750000000000001,0.011785113019775802
25,center,4,30,"(64,)",0.001,True,0.5028139683557641,0.027927729995455862,0.5077472527472527,0.021061522522134276,0.5022952267965056,0.025197524453818478,0.5572604525814244,0.016661834756350684,0.5638888888888889,0.01571348402636772
26,center,4,30,"(64,)",0.01,False,0.5137479120332687,0.018516239976837708,0.500934065934066,0.015202281632164711,0.5026444390297892,0.015471804086129064,0.5649127135187322,0.012055613956245222,0.5750000000000001,0.011785113019775802
27,center,4,30,"(64,)",0.01,True,0.5028139683557641,0.027927729995455862,0.5077472527472527,0.021061522522134276,0.5022952267965056,0.025197524453818478,0.5572604525814244,0.016661834756350684,0.5638888888888889,0.01571348402636772
28,center,4,30,"(64,)",0.1,False,0.5123335743384433,0.022332616051751793,0.5043956043956044,0.023375402699301384,0.5040364649401307,0.022619275472750833,0.5650404490103268,0.0175889032189118,0.5750000000000001,0.018002057495577376
29,center,4,30,"(64,)",0.1,True,0.5074370027001606,0.031140809959288696,0.5108424908424908,0.02310661500507115,0.5061943870729947,0.028708654732042,0.5578399739134833,0.019333985785733938,0.5638888888888889,0.01712337223046941
30,center,4,30,"(128, 64)",0.001,False,0.5756063430025548,0.004881216910042208,0.545970695970696,0.008091342108585498,0.5550780067202342,0.007691588302469419,0.6087809689383047,0.018410502815700884,0.6166666666666667,0.018002057495577428
31,center,4,30,"(128, 64)",0.001,True,0.5661701907658262,0.013740286476559276,0.5563553113553114,0.012488398458969305,0.5560149275119438,0.011079969170927904,0.6085188538109823,0.01581955548865413,0.6166666666666667,0.018002057495577376
32,center,4,30,"(128, 64)",0.01,False,0.5773344623653877,0.011241450938718712,0.5459706959706959,0.00542248278127366,0.5546176378292976,0.005564206926868476,0.608441121130844,0.013014791096189542,0.6166666666666667,0.01360827634879543
33,center,4,30,"(128, 64)",0.01,True,0.5678577429796942,0.012330693293407281,0.5563553113553114,0.012488398458969305,0.5570396411948852,0.010227834960955919,0.6084409956635038,0.01592858952296758,0.6166666666666667,0.018002057495577376
34,center,4,30,"(128, 64)",0.1,False,0.54703699094665,0.013655253637640419,0.5186630036630037,0.017370073831342144,0.5241327076832514,0.014116689301827447,0.5886880133628327,0.0021352361439816903,0.6,0.006804138174397693
35,center,4,30,"(128, 64)",0.1,True,0.5661701907658262,0.013740286476559276,0.5563553113553114,0.012488398458969305,0.5560149275119438,0.011079969170927904,0.6085188538109823,0.01581955548865413,0.6166666666666667,0.018002057495577376
36,center,4,50,"(64,)",0.001,False,0.5492413772750241,0.04382372020272642,0.5065018315018315,0.03771441628149793,0.5199011839180699,0.040556379764033416,0.5754564245425389,0.03781485701599474,0.5861111111111111,0.034916125249934794
37,center,4,50,"(64,)",0.001,True,0.5537764257190714,0.019582632424250693,0.5000732600732601,0.015181835598388095,0.512976988544321,0.014967966012474174,0.5699748115435542,0.025208733970315745,0.5805555555555556,0.027498597046143512
38,center,4,50,"(64,)",0.01,False,0.5492413772750241,0.04382372020272642,0.5065018315018315,0.03771441628149793,0.5199011839180699,0.040556379764033416,0.5754564245425389,0.03781485701599474,0.5861111111111111,0.034916125249934794
