encoding,reference,augment,model,n_features,accuracy,accuracy_std,balanced_accuracy,macro_f1
mean,shot,blocks,pca_mlp,3069,0.7083333333333334,0.010206207261596585,0.6573763736263737,0.6721868641572163
mean_lines,shot,blocks,pca_mlp,3135,0.6958333333333333,0.02465033242958172,0.6507005494505494,0.6680560809616867
mean,shot,blocks,pca_svm_rbf,3069,0.6937500000000001,0.023844839879707487,0.6038186813186813,0.637144570909993
mean_lines,shot,blocks,pca_svm_rbf,3135,0.6916666666666667,0.005892556509887875,0.5971016483516483,0.6237580437580437
mean,bulk,blocks,pca_svm_rbf,3069,0.6666666666666666,0.027638539919628325,0.5696703296703296,0.5994307045028857
mean,shot,surface,pca_mlp,3069,0.6583333333333333,0.03435921354681385,0.577651098901099,0.6093122109077181
mean,shot,blocks,pca_lda,3069,0.6437499999999999,0.0215501675683096,0.6093406593406594,0.6216048548059994
mean,bulk,blocks,pca_mlp,3069,0.6375,0.03796013991310128,0.5778571428571428,0.5897207415689162
mean_lines,shot,surface,pca_mlp,3129,0.6333333333333333,0.017677669529663678,0.5686675824175824,0.58983847525024
mean,shot,blocks,pca_logreg,3069,0.63125,0.023844839879707497,0.6258791208791209,0.6281613882881484
mean_lines,shot,surface,pca_svm_rbf,3129,0.6291666666666667,0.026679684322636867,0.5352884615384615,0.5570831767933786
mean,shot,surface,pca_logreg,3069,0.6291666666666667,0.02795084971874736,0.6422527472527473,0.6410213588108887
mean,shot,surface,pca_svm_rbf,3069,0.625,0.032808366141715894,0.5143406593406594,0.5434404555596032
mean_lines,shot,blocks,pca_logreg,3135,0.6166666666666667,0.02282177322938192,0.6361263736263736,0.6171909304402126
mean_lines,bulk,blocks,pca_mlp,3135,0.6145833333333334,0.029092166757851978,0.5628846153846154,0.5716891710051318
mean,bulk,blocks,pca_logreg,3069,0.6104166666666667,0.010825317547305499,0.5986263736263735,0.5942477152566906
mean_lines,shot,surface,pca_logreg,3129,0.6083333333333333,0.017677669529663664,0.6277060439560439,0.6141898590679352
mean_lines,shot,blocks,pca_lda,3135,0.6020833333333333,0.02724311839712923,0.5493681318681318,0.5700189374040708
mean,shot,surface,pca_lda,3069,0.5979166666666667,0.018042195912175818,0.5694093406593407,0.5799471329233098
mean,bulk,blocks,pca_lda,3069,0.5895833333333333,0.017052818274734302,0.5384478021978022,0.5476730423124285
mean_lines,bulk,blocks,pca_svm_rbf,3135,0.5875,0.015023130314433274,0.49061813186813186,0.5086818599030326
mean,bulk,surface,pca_logreg,3069,0.5854166666666667,0.023844839879707487,0.5720192307692308,0.5637097501841631
mean,bulk,surface,pca_mlp,3069,0.5791666666666667,0.020833333333333304,0.5006456043956045,0.514653105342677
mean_lines,bulk,surface,pca_mlp,3129,0.5729166666666666,0.0265982194475077,0.4861126373626374,0.4978984410342068
mean,bulk,surface,pca_svm_rbf,3069,0.5625,0.017179606773406925,0.4250686813186813,0.438426785487089
mean_lines,bulk,surface,pca_logreg,3129,0.5583333333333333,0.025685058345704066,0.5811813186813187,0.5570463075527281
mean_lines,bulk,blocks,pca_logreg,3135,0.5583333333333333,0.02124591463996994,0.5725686813186813,0.5589216922261044
mean_lines,shot,surface,pca_lda,3129,0.5520833333333334,0.018042195912175783,0.48439560439560436,0.5042710504472198
mean,bulk,surface,pca_lda,3069,0.5520833333333334,0.03352807695714809,0.493282967032967,0.5047308182841664
mean_lines,bulk,surface,pca_svm_rbf,3129,0.5270833333333333,0.03835823466567077,0.3896153846153846,0.39930436723042495
mean_lines,bulk,blocks,pca_lda,3135,0.525,0.039528470752104757,0.46664835164835167,0.47810659892494034
mean_lines,bulk,surface,pca_lda,3129,0.49583333333333335,0.029755951785595227,0.40229395604395607,0.41286830280714504
lines,shot,blocks,pca_lda,66,0.4041666666666667,0.02243818669639378,0.2528846153846154,0.2197792256908721
lines,shot,surface,pca_svm_rbf,60,0.3875,0.03145764348029479,0.23946428571428574,0.20561701955611483
lines,bulk,blocks,pca_lda,66,0.37916666666666665,0.02243818669639378,0.2404807692307692,0.21147241012665602
lines,shot,blocks,pca_mlp,66,0.3770833333333333,0.01987373336285305,0.25984890109890113,0.25467160002151834
lines,shot,surface,pca_mlp,60,0.375,0.014433756729740664,0.25792582417582416,0.25390223134861917
lines,bulk,surface,pca_mlp,60,0.3729166666666667,0.0036084391824351717,0.24684065934065935,0.2326905018707386
lines,bulk,surface,pca_svm_rbf,60,0.3729166666666667,0.032475952641916446,0.2527060439560439,0.24612296722175958
lines,bulk,blocks,pca_mlp,66,0.36875,0.018042195912175804,0.24583791208791209,0.23294406698764006
lines,shot,surface,pca_lda,60,0.3625,0.03608439182435163,0.22788461538461538,0.19879773014733532
lines,bulk,blocks,pca_svm_rbf,66,0.36249999999999993,0.019094065395649333,0.24208791208791208,0.23118173049533713
lines,shot,blocks,pca_svm_rbf,66,0.34791666666666665,0.03247595264191646,0.2229532967032967,0.20237325937225883
lines,bulk,surface,pca_lda,60,0.3458333333333333,0.013819269959814163,0.21788461538461537,0.19146017753743966
lines,bulk,blocks,pca_logreg,66,0.2916666666666667,0.01178511301977579,0.2721291208791209,0.2621155165643174
lines,shot,surface,pca_logreg,60,0.28125,0.042644769771789,0.2933379120879121,0.26923311020927465
lines,shot,blocks,pca_logreg,66,0.2604166666666667,0.021550167568309592,0.26690934065934063,0.2459969681708812
lines,bulk,surface,pca_logreg,60,0.2520833333333333,0.016002386974726276,0.25125000000000003,0.23318002322426112
