baseline,normalization,model,accuracy,accuracy_std,balanced_accuracy,macro_f1
none,tic,pca_mlp,0.6541666666666667,0.027950849718747346,0.6013873626373626,0.6156239523133968
none,snv,pca_mlp,0.6541666666666667,0.03461093276215867,0.5956456043956044,0.6176714884931085
none,max,pca_logreg,0.65,0.04082482904638629,0.5936950549450549,0.59532969541869
none,tic,plsda,0.6479166666666667,0.029092166757851978,0.5970879120879121,0.6077332179130003
none,l2,plsda,0.6458333333333334,0.024650332429581735,0.5914697802197803,0.6091310784682042
none,max,pca_mlp,0.6437499999999999,0.013661330258962497,0.5919917582417582,0.6080289717455335
none,l2,pca_mlp,0.6375,0.047689679759415016,0.5815521978021978,0.5910028843073366
none,l2,pca_logreg,0.6375,0.020833333333333315,0.5882417582417583,0.5973503989054368
none,l2,pca_lda,0.6333333333333333,0.02429563289518875,0.5865659340659339,0.6076389469033854
none,tic,pca_logreg,0.6291666666666667,0.026679684322636867,0.5858379120879121,0.5946417578519457
none,tic,pca_lda,0.6229166666666667,0.02072890493972125,0.5678846153846153,0.589275547204073
none,max,pca_lda,0.61875,0.01600238697472626,0.5801373626373626,0.591862259604195
none,none,plsda,0.6145833333333334,0.02525907427704613,0.5522252747252747,0.5598553507285716
none,snv,plsda,0.6125,0.03359274061791063,0.5527472527472528,0.5721353315054775
snip,snv,pca_mlp,0.6125,0.023935677693908454,0.5394917582417583,0.5667070533156908
none,none,pca_logreg,0.6104166666666667,0.018980069956550646,0.5577884615384615,0.5650941941517414
none,snv,pca_logreg,0.6104166666666667,0.025937290829143193,0.5838736263736264,0.5952356557081382
snip,l2,pca_mlp,0.6083333333333334,0.01863389981249823,0.5277060439560439,0.5532717501221438
none,snv,pca_lda,0.6041666666666667,0.020833333333333315,0.5488461538461538,0.5714977029143371
none,max,plsda,0.6041666666666667,0.039747466725706046,0.544478021978022,0.5609267211125847
none,none,pca_lda,0.6020833333333333,0.025259074277046132,0.5478708791208791,0.5644627962251406
snip,snv,pca_logreg,0.5979166666666667,0.012325166214790864,0.5595741758241759,0.5730579454215817
snip,l2,pca_logreg,0.59375,0.03247595264191644,0.5360302197802198,0.5515856797217534
snip,tic,pca_mlp,0.5916666666666668,0.015590239111558109,0.5162087912087913,0.539186285168195
snip,max,pca_mlp,0.5916666666666668,0.015590239111558109,0.5283653846153846,0.5494957758410025
snip,max,pca_logreg,0.5895833333333333,0.02456213775531583,0.539271978021978,0.5522319244347382
snip,snv,plsda,0.5895833333333333,0.025259074277046132,0.5355769230769231,0.5600543688820177
snip,tic,plsda,0.5875,0.017179606773406943,0.5178021978021978,0.5448580716911413
snip,snv,pca_lda,0.5875,0.026679684322636853,0.5209478021978022,0.550258631150907
snip,none,pca_logreg,0.5854166666666667,0.024562137755315825,0.517651098901099,0.5371105622501179
none,none,pca_mlp,0.5833333333333333,0.022821773229381934,0.5158516483516484,0.5315117517197555
snip,max,plsda,0.5833333333333333,0.022821773229381934,0.5383928571428571,0.5643009336621546
snip,none,plsda,0.5791666666666667,0.015023130314433282,0.4711401098901099,0.49070961394993706
snip,l2,plsda,0.575,0.01178511301977579,0.5178159340659341,0.5505209562569436
snip,tic,pca_logreg,0.5645833333333333,0.016002386974726283,0.5089697802197802,0.5204627152584179
snip,l2,pca_lda,0.5583333333333333,0.02825970826302192,0.4910164835164836,0.5217773987543319
snip,none,pca_mlp,0.55625,0.03026216467986241,0.48457417582417583,0.5003605788272106
snip,max,pca_lda,0.5458333333333334,0.01717960677340691,0.478598901098901,0.5047944906256656
snip,tic,pca_lda,0.5458333333333334,0.009316949906249141,0.4736813186813187,0.49936461755258243
snip,none,pca_lda,0.54375,0.030262164679862407,0.4677884615384615,0.4877032556484611
