sample_id,y_true,sample_pred,sample_correct,b1 (1-20),b2 (21-40),b3 (41-60),b4 (61-80),b5 (81-100),b6 (101-120),b7 (121-140),b8 (141-160),b9 (161-180),b10 (181-200)
train_033,1,1,0.5,1,1,2,1,1,2,1,1,2,2
train_056,1,1,0.8,1,1,1,1,1,1,1,1,1,1
train_057,1,2,0.1,2,2,3,1,2,1,3,2,2,2
train_058,1,1,0.7,1,1,1,1,1,1,1,1,1,1
train_080,1,3,0.0,3,3,3,3,3,3,3,3,3,3
train_083,1,2,0.0,2,2,2,2,2,2,2,2,2,2
train_098,1,3,0.0,5,3,5,5,4,4,4,4,4,4
train_104,1,1,1.0,1,1,1,1,1,1,1,1,1,1
train_106,1,1,1.0,1,1,1,1,1,1,1,1,1,1
train_108,1,1,1.0,1,1,1,1,1,1,1,1,1,1
train_110,1,1,1.0,1,1,2,2,1,1,1,1,1,1
train_112,1,1,0.9,1,1,1,1,1,1,1,1,1,1
train_117,1,1,1.0,1,2,1,1,1,1,1,1,1,1
train_001,2,2,1.0,2,2,2,2,2,2,2,2,2,2
train_003,2,2,1.0,3,2,2,2,2,2,2,2,2,3
train_006,2,2,1.0,2,2,2,2,2,2,2,2,2,2
train_007,2,2,1.0,2,2,2,2,2,2,2,2,2,2
train_010,2,2,1.0,2,2,2,2,2,2,2,2,2,2
train_013,2,2,1.0,3,2,2,2,2,2,2,2,2,2
train_017,2,2,0.9,2,2,1,1,2,2,2,2,2,2
train_020,2,2,1.0,2,2,2,2,2,2,2,2,2,2
train_027,2,3,0.4,2,3,2,3,3,2,2,3,3,2
train_029,2,2,1.0,2,2,2,2,2,2,2,2,2,2
train_034,2,2,0.9,2,2,3,2,3,2,2,2,2,2
train_035,2,2,1.0,2,2,2,2,2,2,2,2,1,2
train_036,2,2,0.9,3,2,3,2,2,2,2,2,2,2
train_037,2,2,1.0,2,2,2,2,2,2,2,2,2,2
train_040,2,2,1.0,2,2,2,2,2,2,2,2,2,2
train_042,2,5,0.0,4,4,5,4,5,5,5,5,4,4
train_047,2,2,0.9,2,2,2,2,2,2,2,2,2,2
train_049,2,2,1.0,2,2,2,2,2,2,2,2,2,2
train_054,2,2,1.0,2,2,2,2,2,2,2,2,2,2
train_059,2,2,0.5,2,2,2,2,2,1,1,1,1,1
train_061,2,2,1.0,2,2,2,2,2,2,2,2,2,2
train_063,2,2,0.4,3,1,1,4,4,4,2,2,2,2
train_064,2,2,0.9,2,2,2,2,2,2,2,2,2,2
train_066,2,2,1.0,2,2,2,2,2,2,2,2,2,2
train_069,2,2,0.7,1,2,2,2,2,2,2,2,2,2
train_070,2,2,0.7,3,2,3,2,2,2,3,3,2,2
train_073,2,2,0.9,2,2,2,2,2,2,2,2,3,3
train_075,2,3,0.5,2,3,2,2,3,3,3,3,2,2
train_076,2,2,1.0,2,2,2,2,2,2,2,2,2,2
train_079,2,1,0.0,1,1,1,1,1,1,1,1,1,1
train_086,2,2,0.9,2,2,2,2,2,2,2,2,2,2
train_088,2,1,0.0,3,3,1,1,3,1,1,1,3,3
train_089,2,2,0.8,3,2,2,4,2,2,2,3,2,3
train_091,2,3,0.1,2,3,3,3,3,3,3,3,3,3
train_092,2,2,0.8,4,2,3,3,2,2,2,2,2,2
train_096,2,2,1.0,2,2,2,2,2,2,2,2,2,2
train_101,2,3,0.0,2,3,3,3,3,3,3,3,3,3
train_102,2,2,1.0,2,2,2,2,2,2,2,2,2,2
train_118,2,2,1.0,2,2,2,2,2,2,2,2,2,2
train_119,2,2,1.0,2,2,2,2,2,2,2,2,2,2
