sample_id,given_label,predicted_label,agreement,share_models_predicting_given_label,mean_p_given_label,mean_p_predicted,label_distance,rows_supporting_given_label,modal_row_classes,votes_L1,votes_L2,votes_L3,votes_L4,votes_L5,mean_p1,mean_p2,mean_p3,mean_p4,mean_p5,n_models,verdict
train_022,4.0,5.0,0.9019607843137255,0.0,4.619860553606706e-05,0.7587400327693026,1.0,0/9,1 5 5 5 5 5 5 5 5,1.0,0.0,4.0,0.0,46.0,0.09596915110624593,0.02217199600666202,0.12307262383702967,4.619860553606706e-05,0.7587400327693026,51.0,consistently predicted as another class
train_042,2.0,5.0,0.9215686274509803,0.0,2.51616498397718e-05,0.8244721420714937,3.0,0/9,5 5 5 5 5 5 5 5 5,0.0,0.0,2.0,2.0,47.0,1.3245101336519408e-05,2.51616498397718e-05,0.09158751133999476,0.08390194138963239,0.8244721420714937,51.0,consistently predicted as another class
train_050,4.0,3.0,1.0,0.0,0.013702260452528545,0.9161223306894821,1.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,51.0,0.0,0.0,0.0004817110793475806,0.0633803653905639,0.9161223306894821,0.013702260452528545,0.006313336262334571,51.0,consistently predicted as another class
train_083,1.0,2.0,0.7843137254901961,0.0,0.05423791127803206,0.5751011780689396,1.0,0/9,2 3 2 2 2 2 2 2 2,0.0,40.0,11.0,0.0,0.0,0.05423791127803206,0.5751011780689396,0.3531812063068308,0.003225836608205539,0.014253865052168354,51.0,"mostly another class, less consistent"
train_088,2.0,3.0,0.6666666666666666,0.0,0.09644143592209564,0.5264150539940102,1.0,0/9,3 3 3 3 3 3 1 1 1,17.0,0.0,34.0,0.0,0.0,0.35529788240803517,0.09644143592209564,0.5264150539940102,0.015946300797815526,0.005899330553472051,51.0,"mostly another class, less consistent"
train_098,1.0,3.0,0.9803921568627451,0.0,1.2932469876166643e-05,0.8692508777217992,2.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,50.0,0.0,1.0,1.2932469876166643e-05,0.004462785605400846,0.8692508777217992,0.008922311396641989,0.11735109274633469,51.0,consistently predicted as another class
train_101,2.0,3.0,1.0,0.0,0.010464842282605287,0.9848600614304638,1.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,51.0,0.0,0.0,6.66268316705734e-08,0.010464842282605287,0.9848600614304638,0.0022173895555802976,0.0024576424275779404,51.0,consistently predicted as another class
train_078,3.0,5.0,0.5882352941176471,0.0392156862745098,0.05984388049396322,0.5754628489571925,2.0,0/9,5 5 5 5 5 4 4 4 4,0.0,2.0,2.0,17.0,30.0,1.6435035098439001e-09,0.06948051686662028,0.05984388049396322,0.29521275346545917,0.5754628489571925,51.0,"mostly another class, less consistent"
train_113,3.0,4.0,0.5882352941176471,0.4117647058823529,0.4062533825798232,0.4726340673328225,1.0,4/9,4 3 3 4 4 4 3 3 4,0.0,0.0,21.0,30.0,0.0,4.254924471366278e-05,0.09683497147265595,0.4062533825798232,0.4726340673328225,0.024235027747854156,51.0,given label plausible
train_079,2.0,2.0,0.6078431372549019,0.6078431372549019,0.5121536052020454,0.5121536052020454,0.0,5/9,1 2 2 2 2 2 1 1 1,20.0,31.0,0.0,0.0,0.0,0.4732518773512425,0.5121536052020454,0.013565498432242702,0.0010171131936110328,1.1912302247494093e-05,51.0,given label plausible
train_080,1.0,1.0,0.6274509803921569,0.6274509803921569,0.49541870714610703,0.49541870714610703,0.0,6/9,1 3 1 1 1 1 1 2 2,32.0,10.0,9.0,0.0,0.0,0.49541870714610703,0.27417248812718936,0.23002960148099041,0.0002460188494757251,0.00013318990450003686,51.0,given label plausible
REFERENCE: clean samples predicted correctly (OOF),,,,,0.809417429601164,0.809417429601164,,,,,,,,,,,,,,,
