sample_id,given_label,predicted_label,agreement,share_models_predicting_given_label,mean_p_given_label,mean_p_predicted,label_distance,rows_supporting_given_label,modal_row_classes,votes_L1,votes_L2,votes_L3,votes_L4,votes_L5,mean_p1,mean_p2,mean_p3,mean_p4,mean_p5,n_models,verdict
train_022,4.0,5.0,0.9833333333333333,0.0,3.149046861703591e-05,0.8818430327175452,1.0,0/9,5 5 5 5 5 5 5 5 5,0.0,0.0,1.0,0.0,59.0,0.05220617052405606,0.016118357121641596,0.049800949411062605,3.149046861703591e-05,0.8818430327175452,60.0,consistently predicted as another class
train_042,2.0,5.0,0.7666666666666667,0.0,1.6016754583129004e-05,0.7016364273586456,3.0,0/9,3 5 5 5 5 5 5 5 5,0.0,0.0,12.0,2.0,46.0,0.000717912031467177,1.6016754583129004e-05,0.2548166436019992,0.04281300369524887,0.7016364273586456,60.0,"mostly another class, less consistent"
train_050,4.0,3.0,1.0,0.0,0.0023067579427862796,0.9623493436585975,1.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,60.0,0.0,0.0,0.006053123976615085,0.005526396543027826,0.9623493436585975,0.0023067579427862796,0.023764375582098197,60.0,consistently predicted as another class
train_088,2.0,3.0,0.9833333333333333,0.0,0.0553887967108173,0.8417633087176931,1.0,0/9,5 3 3 3 3 3 3 3 3,1.0,0.0,59.0,0.0,0.0,0.0591258501630653,0.0553887967108173,0.8417633087176931,0.0009533725307459738,0.04276867776409372,60.0,consistently predicted as another class
train_098,1.0,3.0,0.9,0.0,0.009994039179120898,0.7717798867901028,2.0,0/9,3 5 3 3 3 3 3 3 3,0.0,0.0,54.0,0.0,6.0,0.009994039179120898,0.007046672705818569,0.7717798867901028,0.013573218682713706,0.19760618071282401,60.0,consistently predicted as another class
train_101,2.0,3.0,1.0,0.0,0.0005696963110601498,0.9993020445108414,1.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,60.0,0.0,0.0,6.553430070924642e-07,0.0005696963110601498,0.9993020445108414,1.2458944330497634e-06,0.0001263555327058529,60.0,consistently predicted as another class
train_083,1.0,2.0,0.9666666666666667,0.016666666666666666,0.06403837600290087,0.820429509115261,1.0,0/9,2 2 2 2 2 2 2 2 2,1.0,58.0,1.0,0.0,0.0,0.06403837600290087,0.820429509115261,0.09179295038957222,0.004982217223645871,0.018756949529006788,60.0,consistently predicted as another class
train_113,3.0,4.0,0.9833333333333333,0.016666666666666666,0.25067549632426733,0.700120543641754,1.0,1/9,4 4 4 4 4 4 4 4 3,0.0,0.0,1.0,59.0,0.0,0.009760614859081855,0.01440859445110871,0.25067549632426733,0.700120543641754,0.025034752249747626,60.0,consistently predicted as another class
train_080,1.0,3.0,0.9166666666666666,0.05,0.1650515755209468,0.7348664924748137,2.0,1/9,1 3 3 3 3 3 3 3 3,3.0,2.0,55.0,0.0,0.0,0.1650515755209468,0.09356530979870327,0.7348664924748137,3.287034664548462e-05,0.006483755623857116,60.0,consistently predicted as another class
train_078,3.0,2.0,0.5833333333333334,0.18333333333333332,0.1772067253760916,0.5795647474927809,1.0,0/9,2 5 2 2 2 2 2 2 2,0.0,35.0,11.0,1.0,13.0,9.468958135723434e-05,0.5795647474927809,0.1772067253760916,0.02592832712566537,0.21720550957354243,60.0,"mostly another class, less consistent"
train_079,2.0,2.0,0.95,0.95,0.9277164860576806,0.9277164860576806,0.0,9/9,2 2 2 2 2 2 2 2 2,3.0,57.0,0.0,0.0,0.0,0.06991013735066072,0.9277164860576806,0.002210222538630037,0.00013101469326287247,3.214344623081825e-05,60.0,given label plausible
REFERENCE: clean samples predicted correctly (OOF),,,,,0.86475966746712,0.86475966746712,,,,,,,,,,,,,,,
