sample_id,given_label,predicted_label,agreement,share_models_predicting_given_label,mean_p_given_label,mean_p_predicted,label_distance,rows_supporting_given_label,modal_row_classes,votes_L1,votes_L2,votes_L3,votes_L4,votes_L5,mean_p1,mean_p2,mean_p3,mean_p4,mean_p5,n_models,verdict
train_022,4.0,5.0,0.8627450980392157,0.0,0.008587501680618786,0.5466217932783319,1.0,0/9,2 5 5 5 5 5 5 5 5,0.0,4.0,3.0,0.0,44.0,0.0334056242061078,0.20369093606859878,0.2076941447663426,0.008587501680618786,0.5466217932783319,51.0,consistently predicted as another class
train_042,2.0,5.0,0.803921568627451,0.0,0.09860102522437161,0.5434623563099906,3.0,0/9,5 5 5 5 5 5 5 5 5,0.0,0.0,10.0,0.0,41.0,0.02016671277159408,0.09860102522437161,0.30358803288779773,0.034181872806246044,0.5434623563099906,51.0,consistently predicted as another class
train_050,4.0,3.0,1.0,0.0,0.017533088157723344,0.7011127575495151,1.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,51.0,0.0,0.0,0.018696480921075793,0.19016868973495524,0.7011127575495151,0.017533088157723344,0.07248898363673066,51.0,consistently predicted as another class
train_078,3.0,2.0,0.9803921568627451,0.0,0.04686591875271387,0.6556052489296688,1.0,0/9,2 2 2 2 2 2 2 2 2,0.0,50.0,0.0,0.0,1.0,0.13741831594367568,0.6556052489296688,0.04686591875271387,0.009687717273203987,0.15042279910073778,51.0,consistently predicted as another class
train_083,1.0,2.0,0.9607843137254902,0.0,0.03859483617892874,0.6324399478185981,1.0,0/9,2 2 2 2 2 2 2 2 2,0.0,49.0,2.0,0.0,0.0,0.03859483617892874,0.6324399478185981,0.250190859058793,0.01094467665228121,0.06782968029139895,51.0,consistently predicted as another class
train_088,2.0,3.0,0.9019607843137255,0.0,0.15915016724288059,0.4826963695302825,1.0,1/9,2 3 3 3 3 3 3 3 3,1.0,0.0,46.0,0.0,4.0,0.19160074378831424,0.15915016724288059,0.4826963695302825,0.01189666453841432,0.15465605490010836,51.0,consistently predicted as another class
train_098,1.0,3.0,0.9607843137254902,0.0,0.03611123228878043,0.6339953626504037,2.0,0/9,3 3 3 3 3 3 3 3 3,0.0,2.0,49.0,0.0,0.0,0.03611123228878043,0.13983460639244788,0.6339953626504037,0.021576277597289147,0.16848252107107878,51.0,consistently predicted as another class
train_101,2.0,3.0,1.0,0.0,0.22123167993036055,0.6819816351427014,1.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,51.0,0.0,0.0,0.009443014327463039,0.22123167993036055,0.6819816351427014,0.01973507499698062,0.06760859560249433,51.0,consistently predicted as another class
train_080,1.0,3.0,0.7647058823529411,0.0784313725490196,0.16314698569692704,0.5255638458262516,2.0,0/9,3 3 3 2 3 3 3 3 3,4.0,8.0,39.0,0.0,0.0,0.16314698569692704,0.28012289351099084,0.5255638458262516,0.00797951385496427,0.02318676111086618,51.0,"mostly another class, less consistent"
train_113,3.0,3.0,0.6274509803921569,0.6274509803921569,0.49678071929076933,0.49678071929076933,0.0,7/9,3 3 3 4 4 3 3 3 3,0.0,0.0,32.0,19.0,0.0,0.01977582706075582,0.04731548467351584,0.49678071929076933,0.41030089754632176,0.025827071428637122,51.0,given label plausible
train_079,2.0,2.0,0.9803921568627451,0.9803921568627451,0.6695164942237508,0.6695164942237508,0.0,9/9,2 2 2 2 2 2 2 2 2,1.0,50.0,0.0,0.0,0.0,0.10609303341928758,0.6695164942237508,0.19114937793607495,0.009403196852681636,0.023837897568205202,51.0,given label plausible
REFERENCE: clean samples predicted correctly (OOF),,,,,0.6356899686137801,0.6356899686137801,,,,,,,,,,,,,,,
