sample_id,given_label,predicted_label,agreement,share_models_predicting_given_label,mean_p_given_label,mean_p_predicted,label_distance,rows_supporting_given_label,modal_row_classes,votes_L1,votes_L2,votes_L3,votes_L4,votes_L5,mean_p1,mean_p2,mean_p3,mean_p4,mean_p5,n_models,verdict
train_022,4.0,5.0,0.9019607843137255,0.0,0.010386554838627021,0.6261354645131835,1.0,0/9,1 5 5 5 5 5 5 5 5,1.0,0.0,4.0,0.0,46.0,0.13538402383147752,0.10295823424413379,0.12513572242923085,0.010386554838627021,0.6261354645131835,51.0,consistently predicted as another class
train_042,2.0,5.0,0.803921568627451,0.0,0.02860090163120927,0.6228485153227119,3.0,0/9,5 5 5 5 5 5 5 5 5,0.0,0.0,8.0,2.0,41.0,0.04316894035444754,0.02860090163120927,0.2254691060443768,0.07991253689444683,0.6228485153227119,51.0,consistently predicted as another class
train_050,4.0,3.0,1.0,0.0,0.00246009212401622,0.944665074608165,1.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,51.0,0.0,0.0,0.008826631578533861,0.03397610431870807,0.944665074608165,0.00246009212401622,0.010072096107587976,51.0,consistently predicted as another class
train_083,1.0,2.0,0.7450980392156863,0.0,0.017015291552968864,0.5052235737231952,1.0,0/9,2 2 2 2 3 3 2 2 2,0.0,38.0,13.0,0.0,0.0,0.017015291552968864,0.5052235737231952,0.30922126163138086,0.035968239806325644,0.1325716339893769,51.0,"mostly another class, less consistent"
train_098,1.0,3.0,0.8627450980392157,0.0,0.020327658493147632,0.6427130092722657,2.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,44.0,0.0,7.0,0.020327658493147632,0.08406875872071976,0.6427130092722657,0.0350539628283145,0.21783661058597162,51.0,consistently predicted as another class
train_101,2.0,3.0,1.0,0.0,0.1450780255658895,0.8294815837298083,1.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,51.0,0.0,0.0,0.0016803349723860884,0.1450780255658895,0.8294815837298083,0.002544199155293512,0.021215857238092682,51.0,consistently predicted as another class
train_078,3.0,2.0,0.8431372549019608,0.0196078431372549,0.09270105476824422,0.6756684464648008,1.0,0/9,2 2 2 2 2 2 2 2 2,0.0,43.0,1.0,0.0,7.0,0.036176036900984254,0.6756684464648008,0.09270105476824422,0.01844478943342067,0.1770096731857622,51.0,consistently predicted as another class
train_088,2.0,3.0,0.5686274509803921,0.0784313725490196,0.18596221719212092,0.40068363196425505,1.0,2/9,2 2 3 3 3 1 1 1 1,16.0,4.0,29.0,0.0,2.0,0.2945076374254394,0.18596221719212092,0.40068363196425505,0.02172036235527494,0.0971261515946727,51.0,"mostly another class, less consistent"
train_080,1.0,3.0,0.7450980392156863,0.19607843137254902,0.23023559510372307,0.5684800177918085,2.0,1/9,3 3 3 3 1 3 3 3 3,10.0,3.0,38.0,0.0,0.0,0.23023559510372307,0.1631334781198314,0.5684800177918085,0.002836982370798085,0.035313924684045706,51.0,"mostly another class, less consistent"
train_113,3.0,3.0,0.5882352941176471,0.5882352941176471,0.45170670588579925,0.45170670588579925,0.0,5/9,3 3 4 4 4 4 3 3 3,0.0,0.0,30.0,21.0,0.0,0.008385261088735368,0.09411373879435353,0.45170670588579925,0.3833603458134112,0.06243394808384665,51.0,given label plausible
train_079,2.0,2.0,0.8823529411764706,0.8823529411764706,0.6905889179890323,0.6905889179890323,0.0,9/9,2 2 2 2 2 2 2 2 2,6.0,45.0,0.0,0.0,0.0,0.24667759732333622,0.6905889179890323,0.04830795653806826,0.00806671028591483,0.006358820736256816,51.0,given label plausible
REFERENCE: clean samples predicted correctly (OOF),,,,,0.7770194857114149,0.7770194857114149,,,,,,,,,,,,,,,
