sample_id,given_label,predicted_label,agreement,share_models_predicting_given_label,mean_p_given_label,mean_p_predicted,label_distance,rows_supporting_given_label,modal_row_classes,votes_L1,votes_L2,votes_L3,votes_L4,votes_L5,mean_p1,mean_p2,mean_p3,mean_p4,mean_p5,n_models,verdict
train_022,4.0,5.0,0.5294117647058824,0.0,0.11096232940359968,0.2557675947605492,1.0,0/9,1 3 5 5 3 5 5 5 3,3.0,0.0,21.0,0.0,27.0,0.21492510298242298,0.1781861893858327,0.24015878346759548,0.11096232940359968,0.2557675947605492,51.0,"mostly another class, less consistent"
train_042,2.0,5.0,0.6274509803921569,0.0,0.09426988280335515,0.29405054146317,3.0,0/9,3 3 5 3 5 5 5 5 3,0.0,0.0,19.0,0.0,32.0,0.19253927613936755,0.09426988280335515,0.2675830135176531,0.1515572860764541,0.29405054146317,51.0,"mostly another class, less consistent"
train_050,4.0,3.0,1.0,0.0,0.17627072499312674,0.29217559021684175,1.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,51.0,0.0,0.0,0.17701199802418308,0.16695981828224488,0.29217559021684175,0.17627072499312674,0.18758186848360353,51.0,consistently predicted as another class
train_078,3.0,2.0,0.9215686274509803,0.0,0.05281239240171761,0.5140595568730774,1.0,0/9,2 2 2 2 2 2 2 2 2,0.0,47.0,0.0,0.0,4.0,0.0811510949624743,0.5140595568730774,0.05281239240171761,0.09487174026626055,0.25710521549647014,51.0,consistently predicted as another class
train_083,1.0,2.0,0.9215686274509803,0.0,0.17553388712296078,0.27705934240170793,1.0,0/9,2 2 2 2 2 2 2 2 2,0.0,47.0,3.0,0.0,1.0,0.17553388712296078,0.27705934240170793,0.19488079363514188,0.15807029529060823,0.19445568154958118,51.0,consistently predicted as another class
train_088,2.0,3.0,0.7843137254901961,0.0,0.14391994026714736,0.27908459274956265,1.0,0/9,3 3 3 3 3 3 3 1 3,11.0,0.0,40.0,0.0,0.0,0.24853102276120972,0.14391994026714736,0.27908459274956265,0.16747435809676411,0.16099008612531618,51.0,"mostly another class, less consistent"
train_098,1.0,3.0,0.9803921568627451,0.0,0.15725725668295318,0.33910763677361266,2.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,50.0,0.0,1.0,0.15725725668295318,0.13638704747530697,0.33910763677361266,0.1631221733138606,0.20412588575426646,51.0,consistently predicted as another class
train_101,2.0,3.0,1.0,0.0,0.16589800052129727,0.36522763719128626,1.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,51.0,0.0,0.0,0.15512621521363526,0.16589800052129727,0.36522763719128626,0.1447630564147946,0.1689850906589866,51.0,consistently predicted as another class
train_113,3.0,4.0,0.9803921568627451,0.0196078431372549,0.19362262196846247,0.24947774063704573,1.0,0/9,4 4 4 4 4 4 4 4 4,0.0,0.0,1.0,50.0,0.0,0.17261952675147627,0.1978449085777333,0.19362262196846247,0.24947774063704573,0.18643520206528214,51.0,consistently predicted as another class
train_080,1.0,3.0,0.9411764705882353,0.058823529411764705,0.22823505551095993,0.2961505341525332,2.0,0/9,3 3 3 3 3 3 3 3 3,3.0,0.0,48.0,0.0,0.0,0.22823505551095993,0.18491859304479483,0.2961505341525332,0.14364574785797557,0.1470500694337365,51.0,consistently predicted as another class
train_079,2.0,2.0,0.9215686274509803,0.9215686274509803,0.32967424025602643,0.32967424025602643,0.0,9/9,2 2 2 2 2 2 2 2 2,4.0,47.0,0.0,0.0,0.0,0.23796407188824387,0.32967424025602643,0.12544893602602417,0.16162963758193194,0.14528311424777354,51.0,given label plausible
REFERENCE: clean samples predicted correctly (OOF),,,,,0.31112136039076704,0.31112136039076704,,,,,,,,,,,,,,,
