sample_id,given_label,predicted_label,agreement,share_models_predicting_given_label,mean_p_given_label,mean_p_predicted,label_distance,rows_supporting_given_label,modal_row_classes,votes_L1,votes_L2,votes_L3,votes_L4,votes_L5,mean_p1,mean_p2,mean_p3,mean_p4,mean_p5,n_models,verdict
train_022,4.0,5.0,1.0,0.0,0.01996571358127929,0.6668056184758406,1.0,0/9,5 5 5 5 5 5 5 5 5,0.0,0.0,0.0,0.0,51.0,0.10855826443115682,0.06189794224053576,0.1427724612711876,0.01996571358127929,0.6668056184758406,51.0,consistently predicted as another class
train_042,2.0,5.0,0.9607843137254902,0.0,0.011585487366181719,0.648731950338142,3.0,0/9,5 5 5 5 5 5 5 5 5,0.0,0.0,0.0,2.0,49.0,0.03307230041108669,0.011585487366181719,0.09398120670084975,0.2126290551837397,0.648731950338142,51.0,consistently predicted as another class
train_050,4.0,3.0,1.0,0.0,0.11436965980460385,0.6936626127159164,1.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,51.0,0.0,0.0,0.010060186580316622,0.13235875239828715,0.6936626127159164,0.11436965980460385,0.04954878850087586,51.0,consistently predicted as another class
train_078,3.0,2.0,0.803921568627451,0.0,0.05414610181802883,0.5838631545391242,1.0,0/9,5 2 2 2 2 2 2 2 2,0.0,41.0,0.0,0.0,10.0,0.03017005774332603,0.5838631545391242,0.05414610181802883,0.006596707625764289,0.3252239782737566,51.0,consistently predicted as another class
train_080,1.0,3.0,1.0,0.0,0.1861297017108944,0.6553002004743892,2.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,51.0,0.0,0.0,0.1861297017108944,0.132387640711114,0.6553002004743892,0.014161911295791944,0.012020545807810664,51.0,consistently predicted as another class
train_083,1.0,2.0,0.9215686274509803,0.0,0.036626566554365435,0.6132512436989451,1.0,0/9,2 2 2 2 2 2 2 2 2,0.0,47.0,4.0,0.0,0.0,0.036626566554365435,0.6132512436989451,0.2672795562903962,0.020348468239394218,0.06249416521689907,51.0,consistently predicted as another class
train_088,2.0,3.0,0.8627450980392157,0.0,0.10063970106087167,0.5293890897172135,1.0,0/9,3 3 3 3 3 3 1 1 3,7.0,0.0,44.0,0.0,0.0,0.3149331716409023,0.10063970106087167,0.5293890897172135,0.023698185466194246,0.03133985211481814,51.0,consistently predicted as another class
train_098,1.0,3.0,1.0,0.0,0.009949477947328813,0.6965403527575834,2.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,51.0,0.0,0.0,0.009949477947328813,0.03264731815723464,0.6965403527575834,0.10804008508443916,0.15282276605341397,51.0,consistently predicted as another class
train_101,2.0,3.0,1.0,0.0,0.23018157431189362,0.6879206172616673,1.0,0/9,3 3 3 3 3 3 3 3 3,0.0,0.0,51.0,0.0,0.0,0.03639321107688264,0.23018157431189362,0.6879206172616673,0.017072570663920924,0.028432026685635544,51.0,consistently predicted as another class
train_113,3.0,4.0,1.0,0.0,0.2052404292514367,0.6733346223563533,1.0,0/9,4 4 4 4 4 4 4 4 4,0.0,0.0,0.0,51.0,0.0,0.008616212766608074,0.08033226381847616,0.2052404292514367,0.6733346223563533,0.032476471807125804,51.0,consistently predicted as another class
train_079,2.0,1.0,0.9019607843137255,0.09803921568627451,0.31739273799414913,0.5911161707726349,1.0,0/9,1 1 1 1 1 1 1 1 1,46.0,5.0,0.0,0.0,0.0,0.5911161707726349,0.31739273799414913,0.061298214404800884,0.022442540118628385,0.007750336709786724,51.0,consistently predicted as another class
REFERENCE: clean samples predicted correctly (OOF),,,,,0.6266165588404115,0.6266165588404115,,,,,,,,,,,,,,,
