element,n_lines,valid_fraction,mean_amplitude
Fe,283,0.6285541813898704,0.1045968309044838
V,117,0.4316794871794872,0.037213053554296494
Ti,62,0.4464569892473118,0.05344926193356514
Mo,51,0.5883071895424836,0.05033555626869202
Cr,47,0.7774858156028369,0.17736347019672394
Mn,46,0.5105036231884058,0.03182094916701317
C,36,0.49000925925925926,0.02548963762819767
Cu,23,0.4712028985507246,0.015864141285419464
O,15,0.7522333333333333,0.18127304315567017
Ni,12,0.5739027777777778,0.04904484748840332
N,11,0.9872575757575758,0.21995343267917633
Al,10,0.6385166666666666,0.03301551565527916
Si,7,0.23857142857142857,0.00551183894276619
H,2,1.0,0.061920516192913055
