params,mean_test_score,std_test_score,rank_test_score
"{'clf__C': 10.0, 'clf__gamma': 0.001, 'pca__n_components': 80}",0.6653188405797101,0.10841422117156457,1
"{'clf__C': 10.0, 'clf__gamma': 'scale', 'pca__n_components': 20}",0.6504057971014493,0.10821758248353237,2
"{'clf__C': 10.0, 'clf__gamma': 'scale', 'pca__n_components': 30}",0.6503478260869565,0.13359575939046925,3
"{'clf__C': 100.0, 'clf__gamma': 'scale', 'pca__n_components': 30}",0.6503478260869565,0.13359575939046925,3
"{'clf__C': 1000.0, 'clf__gamma': 'scale', 'pca__n_components': 30}",0.6503478260869565,0.13359575939046925,3
"{'clf__C': 1000.0, 'clf__gamma': 'scale', 'pca__n_components': 20}",0.6420724637681159,0.09455173539299268,6
"{'clf__C': 100.0, 'clf__gamma': 'scale', 'pca__n_components': 20}",0.6420724637681159,0.09455173539299268,6
"{'clf__C': 100.0, 'clf__gamma': 0.01, 'pca__n_components': 30}",0.6416811594202898,0.14030074966680628,8
"{'clf__C': 1000.0, 'clf__gamma': 0.01, 'pca__n_components': 30}",0.6416811594202898,0.14030074966680628,8
"{'clf__C': 100.0, 'clf__gamma': 0.001, 'pca__n_components': 50}",0.6312608695652174,0.12565685095686807,10
"{'clf__C': 1000.0, 'clf__gamma': 0.001, 'pca__n_components': 50}",0.6312608695652174,0.12565685095686807,10
"{'clf__C': 1000.0, 'clf__gamma': 0.01, 'pca__n_components': 20}",0.6247101449275362,0.07550376914856352,12
"{'clf__C': 10.0, 'clf__gamma': 0.01, 'pca__n_components': 30}",0.6246521739130434,0.13788166483316214,13
"{'clf__C': 1000.0, 'clf__gamma': 0.001, 'pca__n_components': 30}",0.6232898550724638,0.11328796119097852,14
"{'clf__C': 100.0, 'clf__gamma': 0.01, 'pca__n_components': 20}",0.6163768115942029,0.08976134663025219,15
"{'clf__C': 1.0, 'clf__gamma': 'scale', 'pca__n_components': 50}",0.6152898550724638,0.13298086683083093,16
"{'clf__C': 1000.0, 'clf__gamma': 0.001, 'pca__n_components': 80}",0.6152898550724638,0.10363139726277332,16
"{'clf__C': 100.0, 'clf__gamma': 0.001, 'pca__n_components': 80}",0.6152898550724638,0.10363139726277332,16
"{'clf__C': 100.0, 'clf__gamma': 'scale', 'pca__n_components': 50}",0.6149275362318841,0.1425527167143373,19
"{'clf__C': 1000.0, 'clf__gamma': 'scale', 'pca__n_components': 50}",0.6149275362318841,0.1425527167143373,19
"{'clf__C': 10.0, 'clf__gamma': 'scale', 'pca__n_components': 50}",0.6149275362318841,0.1425527167143373,19
"{'clf__C': 1.0, 'clf__gamma': 0.01, 'pca__n_components': 50}",0.6080144927536232,0.09815038677815126,22
"{'clf__C': 1000.0, 'clf__gamma': 0.001, 'pca__n_components': 20}",0.6073768115942029,0.05561068803960806,23
"{'clf__C': 10.0, 'clf__gamma': 0.001, 'pca__n_components': 50}",0.6065942028985508,0.12478008380013816,24
"{'clf__C': 100.0, 'clf__gamma': 0.01, 'pca__n_components': 50}",0.6062608695652174,0.1285276403631689,25
"{'clf__C': 10.0, 'clf__gamma': 0.01, 'pca__n_components': 50}",0.6062608695652174,0.1285276403631689,25
"{'clf__C': 1000.0, 'clf__gamma': 0.01, 'pca__n_components': 50}",0.6062608695652174,0.1285276403631689,25
"{'clf__C': 1.0, 'clf__gamma': 'scale', 'pca__n_components': 20}",0.5993478260869566,0.1376976344071279,28
"{'clf__C': 100.0, 'clf__gamma': 0.001, 'pca__n_components': 30}",0.5993188405797102,0.09305170174503824,29
"{'clf__C': 1.0, 'clf__gamma': 'scale', 'pca__n_components': 30}",0.5989565217391305,0.09560010220764935,30
"{'clf__C': 1.0, 'clf__gamma': 0.01, 'pca__n_components': 30}",0.5979275362318841,0.1484599906711492,31
